animal_type,breed,age,weight,gender,primary_symptom,secondary_symptoms,data_source,age_category,weight_category,symptom_count,has_fever,has_vomiting,has_diarrhea,has_lethargy,has_coughing,has_appetite_loss,has_skin_lesions,has_lameness,symptom_severity,is_emergency,is_chronic,breed_size,breed_health_risk,life_stage,is_young,is_senior,weight_age_ratio,weight_status,symptom_pattern,season,time_of_day,urgency_level,animal_type_encoded,breed_encoded,gender_encoded,primary_symptom_encoded,symptom_severity_encoded,breed_size_encoded,breed_health_risk_encoded,life_stage_encoded,weight_status_encoded,symptom_pattern_encoded,season_encoded,time_of_day_encoded,data_source_encoded
Unknown,Unknown,,,Unknown,Digestive Issues,Pain,Pet Health Symptoms,,,1,False,False,False,False,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Musculoskeletal,Fall,Afternoon,1,35,117,2,147,2,4,5,6,3,19,0,0,2
Unknown,Unknown,,,Unknown,Skin Lesions,Skin Lesions,Pet Health Symptoms,,,1,False,False,False,False,False,False,True,False,Medium,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Dermatological,Fall,Morning,2,35,117,2,567,3,4,5,6,3,0,0,2,2
Unknown,Unknown,,,Unknown,Digestive Issues,Pain; Vomiting,Pet Health Symptoms,,,2,False,True,False,False,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Gastrointestinal; Musculoskeletal,Fall,Afternoon,1,35,117,2,147,2,4,5,6,3,5,0,0,2
Unknown,Unknown,,,Unknown,Mobility Problems,Lameness,Pet Health Symptoms,,,1,False,False,False,False,False,False,False,True,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Musculoskeletal,Fall,Afternoon,1,35,117,2,391,2,4,5,6,3,19,0,0,2
Unknown,Unknown,,,Unknown,Parasites,Diarrhea,Pet Health Symptoms,,,1,False,False,True,False,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Gastrointestinal,Winter,Night,1,35,117,2,442,2,4,5,6,3,2,3,3,2
Unknown,Unknown,,,Unknown,Parasites,Skin Lesions,Pet Health Symptoms,,,1,False,False,False,False,False,False,True,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Dermatological,Spring,Morning,1,35,117,2,442,2,4,5,6,3,0,1,2,2
Unknown,Unknown,,,Unknown,Digestive Issues,Weight Loss; Diarrhea,Pet Health Symptoms,,,2,False,False,True,False,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Gastrointestinal,Winter,Night,1,35,117,2,147,2,4,5,6,3,2,3,3,2
Unknown,Unknown,,,Unknown,Mobility Problems,Lethargy,Pet Health Symptoms,,,1,False,False,False,True,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Neurological,Winter,Evening,1,35,117,2,391,2,4,5,6,3,20,3,1,2
Unknown,Unknown,,,Unknown,Parasites,Seizures,Pet Health Symptoms,,,1,False,False,False,False,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Neurological,Winter,Evening,1,35,117,2,442,2,4,5,6,3,20,3,1,2
Unknown,Unknown,,,Unknown,Digestive Issues,Vomiting; Lethargy,Pet Health Symptoms,,,2,False,True,False,True,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Gastrointestinal; Neurological,Fall,Evening,1,35,117,2,147,2,4,5,6,3,6,0,1,2
Unknown,Unknown,,,Unknown,Mobility Problems,Fever; Pain,Pet Health Symptoms,,,2,True,False,False,False,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Musculoskeletal,Summer,Afternoon,1,35,117,2,391,2,4,5,6,3,19,2,0,2
Unknown,Unknown,,,Unknown,Digestive Issues,Constipation,Pet Health Symptoms,,,1,False,False,False,False,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,General,Spring,Afternoon,1,35,117,2,147,2,4,5,6,3,18,1,0,2
Unknown,Unknown,,,Unknown,Mobility Problems,Pain; Lameness,Pet Health Symptoms,,,2,False,False,False,False,False,False,False,True,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Musculoskeletal,Summer,Afternoon,1,35,117,2,391,2,4,5,6,3,19,2,0,2
Unknown,Unknown,,,Unknown,Digestive Issues,Lethargy,Pet Health Symptoms,,,1,False,False,False,True,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Neurological,Winter,Morning,1,35,117,2,147,2,4,5,6,3,20,3,2,2
Unknown,Unknown,,,Unknown,Digestive Issues,Coughing,Pet Health Symptoms,,,1,False,False,False,False,True,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Respiratory,Winter,Night,1,35,117,2,147,2,4,5,6,3,24,3,3,2
Unknown,Unknown,,,Unknown,Parasites,Coughing,Pet Health Symptoms,,,1,False,False,False,False,True,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Respiratory,Summer,Afternoon,1,35,117,2,442,2,4,5,6,3,24,2,0,2
Unknown,Unknown,,,Unknown,Parasites,Pain,Pet Health Symptoms,,,1,False,False,False,False,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Musculoskeletal,Summer,Night,1,35,117,2,442,2,4,5,6,3,19,2,3,2
Unknown,Unknown,,,Unknown,Mobility Problems,Fever,Pet Health Symptoms,,,1,True,False,False,False,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,General,Summer,Night,1,35,117,2,391,2,4,5,6,3,18,2,3,2
Unknown,Unknown,,,Unknown,Mobility Problems,Weight Loss,Pet Health Symptoms,,,1,False,False,False,False,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,General,Winter,Night,1,35,117,2,391,2,4,5,6,3,18,3,3,2
Unknown,Unknown,,,Unknown,Mobility Problems,Fever; Lethargy,Pet Health Symptoms,,,2,True,False,False,True,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Neurological,Winter,Morning,1,35,117,2,391,2,4,5,6,3,20,3,2,2
Unknown,Unknown,,,Unknown,Mobility Problems,Skin Lesions,Pet Health Symptoms,,,1,False,False,False,False,False,False,True,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Dermatological,Spring,Morning,1,35,117,2,391,2,4,5,6,3,0,1,2,2
Unknown,Unknown,,,Unknown,Digestive Issues,Appetite Loss,Pet Health Symptoms,,,1,False,False,False,False,False,True,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Gastrointestinal,Spring,Evening,1,35,117,2,147,2,4,5,6,3,2,1,1,2
Unknown,Unknown,,,Unknown,Digestive Issues,Vomiting; Diarrhea,Pet Health Symptoms,,,2,False,True,True,False,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Gastrointestinal,Winter,Evening,1,35,117,2,147,2,4,5,6,3,2,3,1,2
Unknown,Unknown,,,Unknown,Mobility Problems,Weight Loss; Lameness,Pet Health Symptoms,,,2,False,False,False,False,False,False,False,True,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Musculoskeletal,Summer,Night,1,35,117,2,391,2,4,5,6,3,19,2,3,2
Unknown,Unknown,,,Unknown,Mobility Problems,Appetite Loss; Pain,Pet Health Symptoms,,,2,False,False,False,False,False,True,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Gastrointestinal; Musculoskeletal,Summer,Evening,1,35,117,2,391,2,4,5,6,3,5,2,1,2
Unknown,Unknown,,,Unknown,Parasites,Sneezing,Pet Health Symptoms,,,1,False,False,False,False,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Respiratory,Spring,Night,1,35,117,2,442,2,4,5,6,3,24,1,3,2
Unknown,Unknown,,,Unknown,Mobility Problems,Weight Gain,Pet Health Symptoms,,,1,False,False,False,False,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,General,Winter,Morning,1,35,117,2,391,2,4,5,6,3,18,3,2,2
Unknown,Unknown,,,Unknown,Skin Lesions,Seizures,Pet Health Symptoms,,,1,False,False,False,False,False,False,True,False,Medium,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Neurological; Dermatological,Spring,Morning,2,35,117,2,567,3,4,5,6,3,21,1,2,2
Unknown,Unknown,,,Unknown,Digestive Issues,Appetite Loss; Vomiting,Pet Health Symptoms,,,2,False,True,False,False,False,True,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Gastrointestinal,Spring,Morning,1,35,117,2,147,2,4,5,6,3,2,1,2,2
Unknown,Unknown,,,Unknown,Ear Infections,Fever; Appetite Loss; Lethargy,Pet Health Symptoms,,,3,True,False,False,True,False,True,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Gastrointestinal; Neurological,Fall,Afternoon,1,35,117,2,177,2,4,5,6,3,6,0,0,2
Unknown,Unknown,,,Unknown,Digestive Issues,Weight Loss,Pet Health Symptoms,,,1,False,False,False,False,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,General,Fall,Night,1,35,117,2,147,2,4,5,6,3,18,0,3,2
Unknown,Unknown,,,Unknown,Parasites,Vomiting; Diarrhea,Pet Health Symptoms,,,2,False,True,True,False,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Gastrointestinal,Fall,Morning,1,35,117,2,442,2,4,5,6,3,2,0,2,2
Unknown,Unknown,,,Unknown,Mobility Problems,Skin Lesions; Pain,Pet Health Symptoms,,,2,False,False,False,False,False,False,True,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Dermatological; Musculoskeletal,Summer,Night,1,35,117,2,391,2,4,5,6,3,1,2,3,2
Unknown,Unknown,,,Unknown,Skin Lesions,Skin Lesions; Pain,Pet Health Symptoms,,,2,False,False,False,False,False,False,True,False,Medium,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Dermatological; Musculoskeletal,Winter,Evening,2,35,117,2,567,3,4,5,6,3,1,3,1,2
Unknown,Unknown,,,Unknown,Digestive Issues,Weight Loss; Vomiting; Diarrhea,Pet Health Symptoms,,,3,False,True,True,False,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Gastrointestinal,Winter,Evening,1,35,117,2,147,2,4,5,6,3,2,3,1,2
Unknown,Unknown,,,Unknown,Digestive Issues,Appetite Loss; Lethargy,Pet Health Symptoms,,,2,False,False,False,True,False,True,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Gastrointestinal; Neurological,Winter,Morning,1,35,117,2,147,2,4,5,6,3,6,3,2,2
Unknown,Unknown,,,Unknown,Mobility Problems,Pain; Lethargy,Pet Health Symptoms,,,2,False,False,False,True,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Neurological; Musculoskeletal,Winter,Night,1,35,117,2,391,2,4,5,6,3,23,3,3,2
Dog,Labrador Retriever,4.0,25.0,Male,Fever,Fever; Lethargy; Appetite Loss; Vomiting,Animal Disease Prediction,Adult,Large,4,True,True,False,True,False,True,False,False,High,False,False,Large,Obesity,Adult,False,False,5.0,Normal,Gastrointestinal; Neurological,Fall,Morning,3,7,63,1,229,1,1,6,0,0,6,0,2,0
Cat,Siamese,2.0,4.5,Female,Coughing,Coughing; Sneezing; Eye Discharge; Nasal Discharge,Animal Disease Prediction,Young,Small,4,False,False,False,False,True,False,False,False,Low,False,False,Unknown,Low Risk,Young Adult,False,False,1.5,Normal,Respiratory,Summer,Evening,1,3,102,0,106,2,4,5,7,0,24,2,1,0
Cow,Holstein,3.0,600.0,Female,Fever,Fever; Nasal Discharge; Labored Breathing; Coughing,Animal Disease Prediction,Young,Giant,4,True,False,False,False,True,False,False,False,High,False,False,Unknown,Low Risk,Adult,False,False,150.0,Unknown,Respiratory,Summer,Morning,3,5,59,0,229,1,4,5,0,3,24,2,2,0
Dog,Beagle,1.0,10.0,Male,Diarrhea,Diarrhea; Vomiting; Lethargy; Appetite Loss,Animal Disease Prediction,Puppy/Kitten,Medium,4,False,True,True,True,False,True,False,False,Medium,False,False,Small,Epilepsy,Young Adult,True,False,5.0,Normal,Gastrointestinal; Neurological,Fall,Night,2,7,13,1,128,3,2,3,7,0,6,0,3,0
Cat,Persian,5.0,3.8,Male,Lethargy,Lethargy; Appetite Loss; Skin Lesions; No,Animal Disease Prediction,Adult,Small,4,False,False,False,True,False,True,True,False,Medium,False,False,Unknown,Low Risk,Adult,False,False,0.6333333333333333,Normal,Gastrointestinal; Neurological; Dermatological,Summer,Evening,2,3,82,1,355,3,4,5,0,0,7,2,1,0
Horse,Thoroughbred,6.0,500.0,Female,Coughing,Coughing; Labored Breathing; Nasal Discharge; Fever,Animal Disease Prediction,Adult,Giant,4,True,False,False,False,True,False,False,False,Low,False,False,Unknown,Low Risk,Senior,False,False,71.42857142857143,Unknown,Respiratory,Fall,Afternoon,1,18,114,0,106,2,4,5,5,3,24,0,0,0
Dog,German Shepherd,3.0,30.0,Female,Lameness,Lameness; Fever; Skin Lesions; Lethargy,Animal Disease Prediction,Young,Large,4,True,False,False,True,False,False,True,True,Medium,False,False,Large,Hip Dysplasia,Adult,False,False,7.5,Normal,Neurological; Dermatological; Musculoskeletal,Winter,Evening,2,7,51,0,341,3,1,4,0,0,22,3,1,0
Cat,Maine Coon,2.0,6.0,Male,Vomiting,Vomiting; Appetite Loss; Lethargy; Diarrhea,Animal Disease Prediction,Young,Medium,4,False,True,True,True,False,True,False,False,Medium,False,False,Unknown,Low Risk,Young Adult,False,False,2.0,Normal,Gastrointestinal; Neurological,Fall,Afternoon,2,3,70,1,694,3,4,5,7,0,6,0,0,0
Dog,Bulldog,5.0,23.0,Male,Labored Breathing,Labored Breathing; Coughing; Nasal Discharge; Appetite Loss,Animal Disease Prediction,Adult,Large,4,False,False,False,False,True,True,False,False,Critical,True,False,Unknown,Respiratory,Adult,False,False,3.8333333333333335,Normal,Gastrointestinal; Respiratory,Winter,Morning,4,7,27,1,332,0,4,7,0,0,10,3,2,0
Cow,Jersey,4.0,580.0,Female,Lethargy,Lethargy; Decreased Milk Yield; Fever; No,Animal Disease Prediction,Adult,Giant,4,True,False,False,True,False,False,False,False,Medium,False,False,Unknown,Low Risk,Adult,False,False,116.0,Unknown,Neurological,Winter,Morning,2,5,60,0,355,3,4,5,0,3,20,3,2,0
Cat,Siamese,3.0,5.0,Female,Lethargy,Lethargy; Eye Discharge; Vomiting; Fever,Animal Disease Prediction,Young,Small,4,True,True,False,True,False,False,False,False,Medium,False,False,Unknown,Low Risk,Adult,False,False,1.25,Normal,Gastrointestinal; Neurological,Spring,Night,2,3,102,0,355,3,4,5,0,0,6,1,3,0
Dog,Poodle,2.0,12.0,Female,Lethargy,Lethargy; Appetite Loss; Coughing; Vomiting,Animal Disease Prediction,Young,Medium,4,False,True,False,True,True,True,False,False,Medium,False,False,Small,Skin Issues,Young Adult,False,False,4.0,Normal,Gastrointestinal; Respiratory; Neurological,Fall,Afternoon,2,7,87,0,355,3,2,8,7,0,14,0,0,0
Cat,Bengal,1.0,4.2,Male,Vomiting,Vomiting; Diarrhea; Lethargy; Appetite Loss,Animal Disease Prediction,Puppy/Kitten,Small,4,False,True,True,True,False,True,False,False,Medium,False,False,Unknown,Low Risk,Young Adult,True,False,2.1,Normal,Gastrointestinal; Neurological,Spring,Morning,2,3,16,1,694,3,4,5,7,0,6,1,2,0
Horse,Arabian,8.0,490.0,Female,Lameness,Lameness; Fever; Coughing; Nasal Discharge,Animal Disease Prediction,Senior,Giant,4,True,False,False,False,True,False,False,True,Medium,False,False,Unknown,Low Risk,Senior,False,True,54.44444444444444,Unknown,Respiratory; Musculoskeletal,Fall,Afternoon,2,18,10,0,341,3,4,5,5,3,27,0,0,0
Cow,Hereford,5.0,650.0,Male,Fever,Fever; Lethargy; Decreased Milk Yield; Appetite Loss,Animal Disease Prediction,Adult,Giant,4,True,False,False,True,False,True,False,False,High,False,False,Unknown,Low Risk,Senior,False,False,108.33333333333333,Unknown,Gastrointestinal; Neurological,Fall,Morning,3,5,56,1,229,1,4,5,5,3,6,0,2,0
Dog,Chihuahua,4.0,3.5,Female,Lethargy,Lethargy; Vomiting; Diarrhea; Coughing,Animal Disease Prediction,Adult,Small,4,False,True,True,True,True,False,False,False,Medium,False,False,Toy,Low Risk,Adult,False,False,0.7,Underweight,Gastrointestinal; Respiratory; Neurological,Spring,Evening,2,7,32,0,355,3,3,5,0,2,14,1,1,0
Cat,Ragdoll,3.0,5.0,Male,Skin Lesions,Skin Lesions; Appetite Loss; Lethargy; Vomiting,Animal Disease Prediction,Young,Small,4,False,True,False,True,False,True,True,False,Medium,False,False,Unknown,Low Risk,Adult,False,False,1.25,Normal,Gastrointestinal; Neurological; Dermatological,Spring,Morning,2,3,89,1,567,3,4,5,0,0,7,1,2,0
Dog,Siberian Husky,6.0,28.0,Male,Lameness,Lameness; Fever; Skin Lesions; Lethargy,Animal Disease Prediction,Adult,Large,4,True,False,False,True,False,False,True,True,Medium,False,False,Unknown,Low Risk,Adult,False,False,4.0,Normal,Neurological; Dermatological; Musculoskeletal,Fall,Night,2,7,104,1,341,3,4,5,0,0,22,0,3,0
Horse,Clydesdale,10.0,700.0,Male,Coughing,Coughing; Nasal Discharge; Labored Breathing; Fever,Animal Disease Prediction,Senior,Giant,4,True,False,False,False,True,False,False,False,Low,False,False,Unknown,Low Risk,Senior,False,True,63.63636363636363,Unknown,Respiratory,Summer,Evening,1,18,33,1,106,2,4,5,5,3,24,2,1,0
Cat,British Shorthair,5.0,4.8,Female,Lethargy,Lethargy; Eye Discharge; Appetite Loss; Nasal Discharge,Animal Disease Prediction,Adult,Small,4,False,False,False,True,False,True,False,False,Medium,False,False,Unknown,Low Risk,Adult,False,False,0.7999999999999999,Normal,Gastrointestinal; Respiratory; Neurological,Winter,Night,2,3,25,0,355,3,4,5,0,0,14,3,3,0
Cow,Angus,3.0,590.0,Female,Decreased Milk Yield,Decreased Milk Yield; Fever; Appetite Loss; Lethargy,Animal Disease Prediction,Young,Giant,4,True,False,False,True,False,True,False,False,Low,False,False,Unknown,Low Risk,Adult,False,False,147.5,Unknown,Gastrointestinal; Neurological,Spring,Evening,1,5,8,0,122,2,4,5,0,3,6,1,1,0
Horse,Arabian,7.0,450.0,Male,Lethargy,Lethargy; Appetite Loss; Fever; Labored Breathing,Animal Disease Prediction,Adult,Giant,4,True,False,False,True,False,True,False,False,Medium,False,False,Unknown,Low Risk,Senior,False,False,56.25,Unknown,Gastrointestinal; Respiratory; Neurological,Winter,Afternoon,2,18,10,1,355,3,4,5,5,3,14,3,0,0
Dog,Poodle,2.0,8.0,Female,Coughing,Coughing; Nasal Discharge; Appetite Loss; Lethargy,Animal Disease Prediction,Young,Medium,4,False,False,False,True,True,True,False,False,Low,False,False,Small,Skin Issues,Young Adult,False,False,2.6666666666666665,Normal,Gastrointestinal; Respiratory; Neurological,Summer,Night,1,7,87,0,106,2,2,8,7,0,14,2,3,0
Cat,Bengal,3.0,5.5,Male,Lethargy,Lethargy; Vomiting; Diarrhea; Dehydration,Animal Disease Prediction,Young,Medium,4,False,True,True,True,False,False,False,False,Medium,False,False,Unknown,Low Risk,Adult,False,False,1.375,Normal,Gastrointestinal; Neurological,Summer,Morning,2,3,16,1,355,3,4,5,0,0,6,2,2,0
Cow,Angus,5.0,700.0,Female,Fever,Fever; Decreased Milk Yield; Lethargy; Nasal Discharge,Animal Disease Prediction,Adult,Giant,4,True,False,False,True,False,False,False,False,High,False,False,Unknown,Low Risk,Senior,False,False,116.66666666666667,Unknown,Respiratory; Neurological,Summer,Afternoon,3,5,8,0,229,1,4,5,5,3,28,2,0,0
Dog,Golden Retriever,4.0,30.0,Male,Lameness,Lameness; Swelling; Appetite Loss; Fever,Animal Disease Prediction,Adult,Large,4,True,False,False,False,False,True,False,True,Medium,False,False,Large,Cancer,Adult,False,False,6.0,Normal,Gastrointestinal; Musculoskeletal,Spring,Morning,2,7,52,1,341,3,1,1,0,0,5,1,2,0
Cat,Russian Blue,2.0,4.5,Female,Coughing,Coughing; Nasal Discharge; Eye Discharge; Sneezing,Animal Disease Prediction,Young,Small,4,False,False,False,False,True,False,False,False,Low,False,False,Unknown,Low Risk,Young Adult,False,False,1.5,Normal,Respiratory,Summer,Evening,1,3,95,0,106,2,4,5,7,0,24,2,1,0
Horse,Quarter Horse,9.0,480.0,Female,Coughing,Coughing; Nasal Discharge; Fever; Labored Breathing,Animal Disease Prediction,Senior,Giant,4,True,False,False,False,True,False,False,False,Low,False,False,Unknown,Low Risk,Senior,False,True,48.0,Unknown,Respiratory,Spring,Evening,1,18,88,0,106,2,4,5,5,3,24,1,1,0
Dog,Chihuahua,1.0,3.0,Male,Vomiting,Vomiting; Diarrhea; Lethargy; Fever,Animal Disease Prediction,Puppy/Kitten,Small,4,True,True,True,True,False,False,False,False,Medium,False,False,Toy,Low Risk,Young Adult,True,False,1.5,Underweight,Gastrointestinal; Neurological,Summer,Morning,2,7,32,1,694,3,3,5,7,2,6,2,2,0
Cat,Ragdoll,6.0,6.0,Male,Appetite Loss,Appetite Loss; Weight Loss; Vomiting; Lethargy,Animal Disease Prediction,Adult,Medium,4,False,True,False,True,False,True,False,False,Medium,False,False,Unknown,Low Risk,Adult,False,False,0.8571428571428571,Normal,Gastrointestinal; Neurological,Winter,Morning,2,3,89,1,27,3,4,5,0,0,6,3,2,0
Cow,Hereford,3.0,650.0,Female,Lethargy,Lethargy; Fever; Decreased Milk Yield; Nasal Discharge,Animal Disease Prediction,Young,Giant,4,True,False,False,True,False,False,False,False,Medium,False,False,Unknown,Low Risk,Adult,False,False,162.5,Unknown,Respiratory; Neurological,Winter,Afternoon,2,5,56,0,355,3,4,5,0,3,28,3,0,0
Dog,German Shepherd,5.0,30.0,Male,Lethargy,Lethargy; Labored Breathing; Coughing; Appetite Loss,Animal Disease Prediction,Adult,Large,4,False,False,False,True,True,True,False,False,Medium,False,False,Large,Hip Dysplasia,Adult,False,False,5.0,Normal,Gastrointestinal; Respiratory; Neurological,Fall,Morning,2,7,51,1,355,3,1,4,0,0,14,0,2,0
Cat,Maine Coon,6.0,7.5,Female,Appetite Loss,Appetite Loss; Vomiting; Diarrhea; Skin Lesions,Animal Disease Prediction,Adult,Medium,4,False,True,True,False,False,True,True,False,Medium,False,False,Unknown,Low Risk,Adult,False,False,1.0714285714285714,Normal,Gastrointestinal; Dermatological,Winter,Night,2,3,70,0,27,3,4,5,0,0,3,3,3,0
Horse,Thoroughbred,9.0,500.0,Male,Nasal Discharge,Nasal Discharge; Coughing; Labored Breathing; Lethargy,Animal Disease Prediction,Senior,Giant,4,False,False,False,True,True,False,False,False,Low,False,False,Unknown,Low Risk,Senior,False,True,50.0,Unknown,Respiratory; Neurological,Fall,Night,1,18,114,1,409,2,4,5,5,3,28,0,3,0
Cow,Holstein,4.0,580.0,Female,Appetite Loss,Appetite Loss; Diarrhea; Lethargy; Decreased Milk Yield,Animal Disease Prediction,Adult,Giant,4,False,False,True,True,False,True,False,False,Medium,False,False,Unknown,Low Risk,Adult,False,False,116.0,Unknown,Gastrointestinal; Neurological,Winter,Morning,2,5,59,0,27,3,4,5,0,3,6,3,2,0
Dog,Beagle,2.0,9.0,Female,Fever,Fever; Vomiting; Lethargy; Skin Lesions,Animal Disease Prediction,Young,Medium,4,True,True,False,True,False,False,True,False,High,False,False,Small,Epilepsy,Young Adult,False,False,3.0,Normal,Gastrointestinal; Neurological; Dermatological,Spring,Night,3,7,13,0,229,1,2,3,7,0,7,1,3,0
Cat,Persian,8.0,4.6,Male,Appetite Loss,Appetite Loss; Vomiting; Eye Discharge; Lethargy,Animal Disease Prediction,Senior,Small,4,False,True,False,True,False,True,False,False,Medium,False,False,Unknown,Low Risk,Senior,False,True,0.5111111111111111,Normal,Gastrointestinal; Neurological,Winter,Morning,2,3,82,1,27,3,4,5,5,0,6,3,2,0
Horse,Appaloosa,6.0,520.0,Female,Lameness,Lameness; Fever; Skin Lesions; Appetite Loss,Animal Disease Prediction,Adult,Giant,4,True,False,False,False,False,True,True,True,Medium,False,False,Unknown,Low Risk,Senior,False,False,74.28571428571429,Unknown,Gastrointestinal; Dermatological; Musculoskeletal,Fall,Afternoon,2,18,9,0,341,3,4,5,5,3,4,0,0,0
