animal_type,breed,age,weight,gender,primary_symptom,secondary_symptoms,data_source,age_category,weight_category,symptom_count,has_fever,has_vomiting,has_diarrhea,has_lethargy,has_coughing,has_appetite_loss,has_skin_lesions,has_lameness
Unknown,Unknown,,,Unknown,Mobility Problems,Skin Lesions,Pet Health Symptoms,,,1,False,False,False,False,False,False,True,False
Unknown,Unknown,,,Unknown,Digestive Issues,Appetite Loss,Pet Health Symptoms,,,1,False,False,False,False,False,True,False,False
Unknown,Unknown,,,Unknown,Digestive Issues,Vomiting; Diarrhea,Pet Health Symptoms,,,2,False,True,True,False,False,False,False,False
Unknown,Unknown,,,Unknown,Mobility Problems,Weight Loss; Lameness,Pet Health Symptoms,,,2,False,False,False,False,False,False,False,True
Unknown,Unknown,,,Unknown,Mobility Problems,Appetite Loss; Pain,Pet Health Symptoms,,,2,False,False,False,False,False,True,False,False
Unknown,Unknown,,,Unknown,Parasites,Sneezing,Pet Health Symptoms,,,1,False,False,False,False,False,False,False,False
Unknown,Unknown,,,Unknown,Mobility Problems,Weight Gain,Pet Health Symptoms,,,1,False,False,False,False,False,False,False,False
Unknown,Unknown,,,Unknown,Skin Lesions,Seizures,Pet Health Symptoms,,,1,False,False,False,False,False,False,True,False
Unknown,Unknown,,,Unknown,Digestive Issues,Appetite Loss; Vomiting,Pet Health Symptoms,,,2,False,True,False,False,False,True,False,False
Unknown,Unknown,,,Unknown,Ear Infections,Fever; Appetite Loss; Lethargy,Pet Health Symptoms,,,3,True,False,False,True,False,True,False,False
Unknown,Unknown,,,Unknown,Digestive Issues,Weight Loss,Pet Health Symptoms,,,1,False,False,False,False,False,False,False,False
Unknown,Unknown,,,Unknown,Parasites,Vomiting; Diarrhea,Pet Health Symptoms,,,2,False,True,True,False,False,False,False,False
Unknown,Unknown,,,Unknown,Mobility Problems,Skin Lesions; Pain,Pet Health Symptoms,,,2,False,False,False,False,False,False,True,False
Unknown,Unknown,,,Unknown,Skin Lesions,Skin Lesions; Pain,Pet Health Symptoms,,,2,False,False,False,False,False,False,True,False
Unknown,Unknown,,,Unknown,Digestive Issues,Weight Loss; Vomiting; Diarrhea,Pet Health Symptoms,,,3,False,True,True,False,False,False,False,False
Unknown,Unknown,,,Unknown,Digestive Issues,Appetite Loss; Lethargy,Pet Health Symptoms,,,2,False,False,False,True,False,True,False,False
Unknown,Unknown,,,Unknown,Mobility Problems,Pain; Lethargy,Pet Health Symptoms,,,2,False,False,False,True,False,False,False,False
Dog,Labrador Retriever,4.0,25.0,Male,Fever,Fever; Lethargy; Appetite Loss; Vomiting,Animal Disease Prediction,Adult,Large,4,True,True,False,True,False,True,False,False
Cat,Siamese,2.0,4.5,Female,Coughing,Coughing; Sneezing; Eye Discharge; Nasal Discharge,Animal Disease Prediction,Young,Small,4,False,False,False,False,True,False,False,False
Cow,Holstein,3.0,600.0,Female,Fever,Fever; Nasal Discharge; Labored Breathing; Coughing,Animal Disease Prediction,Young,Giant,4,True,False,False,False,True,False,False,False
Dog,Beagle,1.0,10.0,Male,Diarrhea,Diarrhea; Vomiting; Lethargy; Appetite Loss,Animal Disease Prediction,Puppy/Kitten,Medium,4,False,True,True,True,False,True,False,False
Cat,Persian,5.0,3.8,Male,Lethargy,Lethargy; Appetite Loss; Skin Lesions; No,Animal Disease Prediction,Adult,Small,4,False,False,False,True,False,True,True,False
Horse,Thoroughbred,6.0,500.0,Female,Coughing,Coughing; Labored Breathing; Nasal Discharge; Fever,Animal Disease Prediction,Adult,Giant,4,True,False,False,False,True,False,False,False
Dog,German Shepherd,3.0,30.0,Female,Lameness,Lameness; Fever; Skin Lesions; Lethargy,Animal Disease Prediction,Young,Large,4,True,False,False,True,False,False,True,True
Cat,Maine Coon,2.0,6.0,Male,Vomiting,Vomiting; Appetite Loss; Lethargy; Diarrhea,Animal Disease Prediction,Young,Medium,4,False,True,True,True,False,True,False,False
Dog,Bulldog,5.0,23.0,Male,Labored Breathing,Labored Breathing; Coughing; Nasal Discharge; Appetite Loss,Animal Disease Prediction,Adult,Large,4,False,False,False,False,True,True,False,False
Cow,Jersey,4.0,580.0,Female,Lethargy,Lethargy; Decreased Milk Yield; Fever; No,Animal Disease Prediction,Adult,Giant,4,True,False,False,True,False,False,False,False
Cat,Siamese,3.0,5.0,Female,Lethargy,Lethargy; Eye Discharge; Vomiting; Fever,Animal Disease Prediction,Young,Small,4,True,True,False,True,False,False,False,False
Dog,Poodle,2.0,12.0,Female,Lethargy,Lethargy; Appetite Loss; Coughing; Vomiting,Animal Disease Prediction,Young,Medium,4,False,True,False,True,True,True,False,False
Cat,Bengal,1.0,4.2,Male,Vomiting,Vomiting; Diarrhea; Lethargy; Appetite Loss,Animal Disease Prediction,Puppy/Kitten,Small,4,False,True,True,True,False,True,False,False
Horse,Arabian,8.0,490.0,Female,Lameness,Lameness; Fever; Coughing; Nasal Discharge,Animal Disease Prediction,Senior,Giant,4,True,False,False,False,True,False,False,True
Cow,Hereford,5.0,650.0,Male,Fever,Fever; Lethargy; Decreased Milk Yield; Appetite Loss,Animal Disease Prediction,Adult,Giant,4,True,False,False,True,False,True,False,False
Dog,Chihuahua,4.0,3.5,Female,Lethargy,Lethargy; Vomiting; Diarrhea; Coughing,Animal Disease Prediction,Adult,Small,4,False,True,True,True,True,False,False,False
Cat,Ragdoll,3.0,5.0,Male,Skin Lesions,Skin Lesions; Appetite Loss; Lethargy; Vomiting,Animal Disease Prediction,Young,Small,4,False,True,False,True,False,True,True,False
Dog,Siberian Husky,6.0,28.0,Male,Lameness,Lameness; Fever; Skin Lesions; Lethargy,Animal Disease Prediction,Adult,Large,4,True,False,False,True,False,False,True,True
Horse,Clydesdale,10.0,700.0,Male,Coughing,Coughing; Nasal Discharge; Labored Breathing; Fever,Animal Disease Prediction,Senior,Giant,4,True,False,False,False,True,False,False,False
Cat,British Shorthair,5.0,4.8,Female,Lethargy,Lethargy; Eye Discharge; Appetite Loss; Nasal Discharge,Animal Disease Prediction,Adult,Small,4,False,False,False,True,False,True,False,False
Cow,Angus,3.0,590.0,Female,Decreased Milk Yield,Decreased Milk Yield; Fever; Appetite Loss; Lethargy,Animal Disease Prediction,Young,Giant,4,True,False,False,True,False,True,False,False
Horse,Arabian,7.0,450.0,Male,Lethargy,Lethargy; Appetite Loss; Fever; Labored Breathing,Animal Disease Prediction,Adult,Giant,4,True,False,False,True,False,True,False,False
Dog,Poodle,2.0,8.0,Female,Coughing,Coughing; Nasal Discharge; Appetite Loss; Lethargy,Animal Disease Prediction,Young,Medium,4,False,False,False,True,True,True,False,False
Cat,Bengal,3.0,5.5,Male,Lethargy,Lethargy; Vomiting; Diarrhea; Dehydration,Animal Disease Prediction,Young,Medium,4,False,True,True,True,False,False,False,False
Cow,Angus,5.0,700.0,Female,Fever,Fever; Decreased Milk Yield; Lethargy; Nasal Discharge,Animal Disease Prediction,Adult,Giant,4,True,False,False,True,False,False,False,False
Dog,Golden Retriever,4.0,30.0,Male,Lameness,Lameness; Swelling; Appetite Loss; Fever,Animal Disease Prediction,Adult,Large,4,True,False,False,False,False,True,False,True
Cat,Russian Blue,2.0,4.5,Female,Coughing,Coughing; Nasal Discharge; Eye Discharge; Sneezing,Animal Disease Prediction,Young,Small,4,False,False,False,False,True,False,False,False
Horse,Quarter Horse,9.0,480.0,Female,Coughing,Coughing; Nasal Discharge; Fever; Labored Breathing,Animal Disease Prediction,Senior,Giant,4,True,False,False,False,True,False,False,False
Dog,Chihuahua,1.0,3.0,Male,Vomiting,Vomiting; Diarrhea; Lethargy; Fever,Animal Disease Prediction,Puppy/Kitten,Small,4,True,True,True,True,False,False,False,False
Cat,Ragdoll,6.0,6.0,Male,Appetite Loss,Appetite Loss; Weight Loss; Vomiting; Lethargy,Animal Disease Prediction,Adult,Medium,4,False,True,False,True,False,True,False,False
Cow,Hereford,3.0,650.0,Female,Lethargy,Lethargy; Fever; Decreased Milk Yield; Nasal Discharge,Animal Disease Prediction,Young,Giant,4,True,False,False,True,False,False,False,False
Dog,German Shepherd,5.0,30.0,Male,Lethargy,Lethargy; Labored Breathing; Coughing; Appetite Loss,Animal Disease Prediction,Adult,Large,4,False,False,False,True,True,True,False,False
Cat,Maine Coon,6.0,7.5,Female,Appetite Loss,Appetite Loss; Vomiting; Diarrhea; Skin Lesions,Animal Disease Prediction,Adult,Medium,4,False,True,True,False,False,True,True,False
Horse,Thoroughbred,9.0,500.0,Male,Nasal Discharge,Nasal Discharge; Coughing; Labored Breathing; Lethargy,Animal Disease Prediction,Senior,Giant,4,False,False,False,True,True,False,False,False
Cow,Holstein,4.0,580.0,Female,Appetite Loss,Appetite Loss; Diarrhea; Lethargy; Decreased Milk Yield,Animal Disease Prediction,Adult,Giant,4,False,False,True,True,False,True,False,False
Dog,Beagle,2.0,9.0,Female,Fever,Fever; Vomiting; Lethargy; Skin Lesions,Animal Disease Prediction,Young,Medium,4,True,True,False,True,False,False,True,False
Cat,Persian,8.0,4.6,Male,Appetite Loss,Appetite Loss; Vomiting; Eye Discharge; Lethargy,Animal Disease Prediction,Senior,Small,4,False,True,False,True,False,True,False,False
Horse,Appaloosa,6.0,520.0,Female,Lameness,Lameness; Fever; Skin Lesions; Appetite Loss,Animal Disease Prediction,Adult,Giant,4,True,False,False,False,False,True,True,True
Cow,Jersey,3.0,620.0,Male,Diarrhea,Diarrhea; Lethargy; Appetite Loss; Decreased Milk Yield,Animal Disease Prediction,Young,Giant,4,False,False,True,True,False,True,False,False
Dog,Dachshund,7.0,5.5,Male,Coughing,Coughing; Labored Breathing; Lethargy; Appetite Loss,Animal Disease Prediction,Adult,Medium,4,False,False,False,True,True,True,False,False
Cat,Sphynx,4.0,3.2,Female,Eye Discharge,Eye Discharge; Nasal Discharge; Appetite Loss; Lethargy,Animal Disease Prediction,Adult,Small,4,False,False,False,True,False,True,False,False
Dog,Golden Retriever,4.0,28.0,Female,Lethargy,Lethargy; Vomiting; Diarrhea; Loss Of Appetite,Animal Disease Prediction,Adult,Large,4,False,True,True,True,False,False,False,False
Cat,British Shorthair,3.0,5.5,Male,Appetite Loss,Appetite Loss; Coughing; Nasal Discharge; Eye Discharge,Animal Disease Prediction,Young,Medium,4,False,False,False,False,True,True,False,False
Horse,Arabian,10.0,450.0,Female,Lameness,Lameness; Fever; Swollen Joints; Lethargy,Animal Disease Prediction,Senior,Giant,4,True,False,False,True,False,False,False,True
Cow,Angus,6.0,600.0,Male,Coughing,Coughing; Nasal Discharge; Labored Breathing; Fever,Animal Disease Prediction,Adult,Giant,4,True,False,False,False,True,False,False,False
Dog,Bulldog,5.0,22.0,Male,Vomiting,Vomiting; Appetite Loss; Fever; Diarrhea,Animal Disease Prediction,Adult,Large,4,True,True,True,False,False,True,False,False
Cat,Siamese,2.0,4.0,Female,Sneezing,Sneezing; Eye Discharge; Appetite Loss; Lethargy,Animal Disease Prediction,Young,Small,4,False,False,False,True,False,True,False,False
Horse,Quarter Horse,12.0,500.0,Male,Lameness,Lameness; Fever; Swollen Joints; Reduced Appetite,Animal Disease Prediction,Senior,Giant,4,True,False,False,False,False,False,False,True
Cow,Hereford,3.0,570.0,Female,Lethargy,Lethargy; Diarrhea; Appetite Loss; Dehydration,Animal Disease Prediction,Young,Giant,4,False,False,True,True,False,True,False,False
Dog,Poodle,8.0,15.0,Male,Coughing,Coughing; Labored Breathing; Lethargy; Appetite Loss,Animal Disease Prediction,Senior,Medium,4,False,False,False,True,True,True,False,False
Cat,Abyssinian,5.0,4.5,Female,Vomiting,Vomiting; Diarrhea; Loss Of Appetite; Dehydration,Animal Disease Prediction,Adult,Small,4,False,True,True,False,False,False,False,False
Horse,Clydesdale,15.0,600.0,Male,Appetite Loss,Appetite Loss; Lethargy; Labored Breathing; Coughing,Animal Disease Prediction,Senior,Giant,4,False,False,False,True,True,True,False,False
Cow,Brahman,7.0,620.0,Female,Fever,Fever; Coughing; Lethargy; Decreased Milk Yield,Animal Disease Prediction,Adult,Giant,4,True,False,False,True,True,False,False,False
Dog,Siberian Husky,9.0,25.0,Male,Lethargy,Lethargy; Vomiting; Diarrhea; Loss Of Appetite,Animal Disease Prediction,Senior,Large,4,False,True,True,True,False,False,False,False
Cat,Ragdoll,4.0,5.0,Female,Eye Discharge,Eye Discharge; Nasal Discharge; Coughing; Lethargy,Animal Disease Prediction,Adult,Small,4,False,False,False,True,True,False,False,False
Horse,Morgan,11.0,520.0,Female,Lameness,Lameness; Swollen Joints; Reduced Appetite; Weight Loss,Animal Disease Prediction,Senior,Giant,4,False,False,False,False,False,False,False,True
Cow,Limousin,2.0,550.0,Male,Diarrhea,Diarrhea; Lethargy; Appetite Loss; Dehydration,Animal Disease Prediction,Young,Giant,4,False,False,True,True,False,True,False,False
Dog,Border Collie,3.0,17.0,Female,Coughing,Coughing; Labored Breathing; Fever; Nasal Discharge,Animal Disease Prediction,Young,Large,4,True,False,False,False,True,False,False,False
Cat,Devon Rex,6.0,4.2,Male,Vomiting,Vomiting; Appetite Loss; Lethargy; Weight Loss,Animal Disease Prediction,Adult,Small,4,False,True,False,True,False,True,False,False
Horse,Standardbred,7.0,540.0,Male,Lameness,Lameness; Swollen Joints; Lethargy; Weight Loss,Animal Disease Prediction,Adult,Giant,4,False,False,False,True,False,False,False,True
Cow,Red Angus,5.0,620.0,Female,Fever,Fever; Diarrhea; Lethargy; Appetite Loss,Animal Disease Prediction,Adult,Giant,4,True,False,True,True,False,True,False,False
Dog,Chihuahua,3.0,2.5,Male,Sneezing,Sneezing; Eye Discharge; Labored Breathing; Lethargy,Animal Disease Prediction,Young,Small,4,False,False,False,True,False,False,False,False
Cat,Sphynx,5.0,3.0,Female,Vomiting,Vomiting; Appetite Loss; Diarrhea; Weight Loss,Animal Disease Prediction,Adult,Small,4,False,True,True,False,False,True,False,False
Horse,Shire,10.0,680.0,Female,Lethargy,Lethargy; Fever; Appetite Loss; Weight Loss,Animal Disease Prediction,Senior,Giant,4,True,False,False,True,False,True,False,False
Cow,Guernsey,4.0,590.0,Male,Appetite Loss,Appetite Loss; Lethargy; Diarrhea; Dehydration,Animal Disease Prediction,Adult,Giant,4,False,False,True,True,False,True,False,False
Dog,Dachshund,7.0,8.0,Female,Vomiting,Vomiting; Diarrhea; Weight Loss; Appetite Loss,Animal Disease Prediction,Adult,Medium,4,False,True,True,False,False,True,False,False
Cat,Maine Coon,9.0,6.5,Male,Lethargy,Lethargy; Appetite Loss; Weight Loss; Dehydration,Animal Disease Prediction,Senior,Medium,4,False,False,False,True,False,True,False,False
Horse,Thoroughbred,14.0,520.0,Male,Coughing,Coughing; Labored Breathing; Fever; Weight Loss,Animal Disease Prediction,Senior,Giant,4,True,False,False,False,True,False,False,False
Cow,Jersey,6.0,600.0,Female,Fever,Fever; Nasal Discharge; Decreased Milk Yield; Lethargy,Animal Disease Prediction,Adult,Giant,4,True,False,False,True,False,False,False,False
Dog,Labrador Retriever,11.0,35.0,Male,Lethargy,Lethargy; Loss Of Appetite; Fever; Vomiting,Animal Disease Prediction,Senior,XLarge,4,True,True,False,True,False,False,False,False
Cat,Persian,8.0,5.0,Female,Coughing,Coughing; Nasal Discharge; Eye Discharge; Loss Of Appetite,Animal Disease Prediction,Senior,Small,4,False,False,False,False,True,False,False,False
Dog,German Shepherd,6.0,30.0,Female,Coughing,Coughing; Labored Breathing; Lethargy; Loss Of Appetite,Animal Disease Prediction,Adult,Large,4,False,False,False,True,True,False,False,False
Cat,Scottish Fold,4.0,4.8,Male,Sneezing,Sneezing; Eye Discharge; Appetite Loss; Lethargy,Animal Disease Prediction,Adult,Small,4,False,False,False,True,False,True,False,False
Horse,Appaloosa,10.0,510.0,Female,Lameness,Lameness; Fever; Swollen Joints; Reduced Appetite,Animal Disease Prediction,Senior,Giant,4,True,False,False,False,False,False,False,True
Cow,Holstein,7.0,590.0,Male,Coughing,Coughing; Nasal Discharge; Labored Breathing; Lethargy,Animal Disease Prediction,Adult,Giant,4,False,False,False,True,True,False,False,False
Dog,Beagle,5.0,10.0,Male,Vomiting,Vomiting; Diarrhea; Loss Of Appetite; Fever,Animal Disease Prediction,Adult,Medium,4,True,True,True,False,False,False,False,False
Horse,Arabian,13.0,490.0,Male,Fever,Fever; Nasal Discharge; Labored Breathing; Lethargy,Animal Disease Prediction,Senior,Giant,4,True,False,False,True,False,False,False,False
Cow,Simmental,8.0,630.0,Female,Loss Of Appetite,Loss Of Appetite; Weight Loss; Lethargy; Reduced Milk Production,Animal Disease Prediction,Senior,Giant,4,False,False,False,True,False,False,False,False
Dog,Rottweiler,7.0,35.0,Female,Vomiting,Vomiting; Diarrhea; Loss Of Appetite; Dehydration,Animal Disease Prediction,Adult,XLarge,4,False,True,True,False,False,False,False,False
Cat,Siberian,2.0,5.5,Male,Coughing,Coughing; Sneezing; Nasal Discharge; Eye Discharge,Animal Disease Prediction,Young,Medium,4,False,False,False,False,True,False,False,False
Horse,American Quarter,14.0,520.0,Female,Swollen Joints,Swollen Joints; Lameness; Fever; Loss Of Appetite,Animal Disease Prediction,Senior,Giant,4,True,False,False,False,False,False,False,True
Cow,Shorthorn,5.0,600.0,Male,Diarrhea,Diarrhea; Dehydration; Lethargy; Loss Of Appetite,Animal Disease Prediction,Adult,Giant,4,False,False,True,True,False,False,False,False
Dog,Shih Tzu,4.0,7.0,Female,Coughing,Coughing; Labored Breathing; Appetite Loss; Lethargy,Animal Disease Prediction,Adult,Medium,4,False,False,False,True,True,True,False,False
Cat,American Curl,5.0,3.7,Male,Vomiting,Vomiting; Diarrhea; Dehydration; Weight Loss,Animal Disease Prediction,Adult,Small,4,False,True,True,False,False,False,False,False
Horse,Percheron,12.0,600.0,Male,Swollen Joints,Swollen Joints; Lameness; Appetite Loss; Weight Loss,Animal Disease Prediction,Senior,Giant,4,False,False,False,False,False,True,False,True
Cow,Brahman,3.0,570.0,Female,Fever,Fever; Nasal Discharge; Lethargy; Coughing,Animal Disease Prediction,Young,Giant,4,True,False,False,True,True,False,False,False
Dog,Chihuahua,9.0,2.0,Male,Vomiting,Vomiting; Loss Of Appetite; Diarrhea; Lethargy,Animal Disease Prediction,Senior,Small,4,False,True,True,True,False,False,False,False
Cat,Manx,4.0,3.3,Female,Eye Discharge,Eye Discharge; Nasal Discharge; Sneezing; Coughing,Animal Disease Prediction,Adult,Small,4,False,False,False,False,True,False,False,False
Horse,Tennessee Walker,16.0,530.0,Female,Weight Loss,Weight Loss; Loss Of Appetite; Lethargy; Fever,Animal Disease Prediction,Geriatric,Giant,4,True,False,False,True,False,False,False,False
Cow,Jersey,6.0,620.0,Male,Weight Loss,Weight Loss; Reduced Milk Production; Lethargy; Appetite Loss,Animal Disease Prediction,Adult,Giant,4,False,False,False,True,False,True,False,False
Dog,Dalmatian,8.0,20.0,Female,Vomiting,Vomiting; Diarrhea; Weight Loss; Dehydration,Animal Disease Prediction,Senior,Large,4,False,True,True,False,False,False,False,False
Cat,Bombay,6.0,4.0,Male,Lethargy,Lethargy; Vomiting; Loss Of Appetite; Weight Loss,Animal Disease Prediction,Adult,Small,4,False,True,False,True,False,False,False,False
Horse,Welsh Pony,10.0,450.0,Male,Lameness,Lameness; Swollen Joints; Reduced Appetite; Weight Loss,Animal Disease Prediction,Senior,Giant,4,False,False,False,False,False,False,False,True
Cow,Brown Swiss,3.0,580.0,Female,Diarrhea,Diarrhea; Dehydration; Loss Of Appetite; Lethargy,Animal Disease Prediction,Young,Giant,4,False,False,True,True,False,False,False,False
Dog,Akita,6.0,35.0,Male,Lethargy,Lethargy; Loss Of Appetite; Fever; Vomiting,Animal Disease Prediction,Adult,XLarge,4,True,True,False,True,False,False,False,False
Cat,British Shorthair,7.0,4.4,Female,Nasal Discharge,Nasal Discharge; Eye Discharge; Sneezing; Lethargy,Animal Disease Prediction,Adult,Small,4,False,False,False,True,False,False,False,False
Horse,Morgan,11.0,530.0,Female,Weight Loss,Weight Loss; Swollen Joints; Reduced Appetite; Fever,Animal Disease Prediction,Senior,Giant,4,True,False,False,False,False,False,False,False
Cow,Guernsey,5.0,610.0,Male,Nasal Discharge,Nasal Discharge; Coughing; Labored Breathing; Fever,Animal Disease Prediction,Adult,Giant,4,True,False,False,False,True,False,False,False
Dog,Boxer,8.0,27.0,Female,Vomiting,Vomiting; Lethargy; Diarrhea; Loss Of Appetite,Animal Disease Prediction,Senior,Large,4,False,True,True,True,False,False,False,False
Cat,Abyssinian,4.0,4.5,Male,Eye Discharge,Eye Discharge; Lethargy; Nasal Discharge; Sneezing,Animal Disease Prediction,Adult,Small,4,False,False,False,True,False,False,False,False
Dog,Golden Retriever,5.0,32.0,Male,Vomiting,Vomiting; Diarrhea; Loss Of Appetite; Lethargy,Animal Disease Prediction,Adult,XLarge,4,False,True,True,True,False,False,False,False
Cat,Persian,7.0,4.1,Female,Sneezing,Sneezing; Nasal Discharge; Eye Discharge; Lethargy,Animal Disease Prediction,Adult,Small,4,False,False,False,True,False,False,False,False
Horse,Thoroughbred,15.0,480.0,Male,Lameness,Lameness; Swollen Joints; Appetite Loss; Fever,Animal Disease Prediction,Senior,Giant,4,True,False,False,False,False,True,False,True
Cow,Limousin,6.0,620.0,Female,Weight Loss,Weight Loss; Reduced Milk Production; Appetite Loss; Lethargy,Animal Disease Prediction,Adult,Giant,4,False,False,False,True,False,True,False,False
Rabbit,Holland Lop,3.0,1.8,Female,Sneezing,Sneezing; Nasal Discharge; Loss Of Appetite; Lethargy,Animal Disease Prediction,Young,Small,4,False,False,False,True,False,False,False,False
Sheep,Merino,4.0,75.0,Male,Coughing,Coughing; Labored Breathing; Nasal Discharge; Fever,Animal Disease Prediction,Adult,Giant,4,True,False,False,False,True,False,False,False
Goat,Boer,5.0,68.0,Female,Diarrhea,Diarrhea; Dehydration; Lethargy; Loss Of Appetite,Animal Disease Prediction,Adult,Giant,4,False,False,True,True,False,False,False,False
Pig,Yorkshire,2.0,110.0,Male,Vomiting,Vomiting; Diarrhea; Loss Of Appetite; Fever,Animal Disease Prediction,Young,Giant,4,True,True,True,False,False,False,False,False
Dog,Dachshund,4.0,9.0,Female,Lethargy,Lethargy; Vomiting; Loss Of Appetite; Dehydration,Animal Disease Prediction,Adult,Medium,4,False,True,False,True,False,False,False,False
Cat,Siamese,6.0,4.2,Male,Coughing,Coughing; Sneezing; Eye Discharge; Lethargy,Animal Disease Prediction,Adult,Small,4,False,False,False,True,True,False,False,False
Horse,Clydesdale,12.0,600.0,Female,Fever,Fever; Swollen Joints; Appetite Loss; Lameness,Animal Disease Prediction,Senior,Giant,4,True,False,False,False,False,True,False,True
Cow,Angus,8.0,580.0,Male,Coughing,Coughing; Labored Breathing; Lethargy; Nasal Discharge,Animal Disease Prediction,Senior,Giant,4,False,False,False,True,True,False,False,False
Rabbit,Mini Rex,2.0,1.6,Male,Diarrhea,Diarrhea; Loss Of Appetite; Dehydration; Weight Loss,Animal Disease Prediction,Young,Small,4,False,False,True,False,False,False,False,False
Sheep,Suffolk,3.0,80.0,Female,Weight Loss,Weight Loss; Lethargy; Loss Of Appetite; Reduced Wool Growth,Animal Disease Prediction,Young,Giant,4,False,False,False,True,False,False,False,False
Goat,Alpine,4.0,72.0,Male,Fever,Fever; Lethargy; Weight Loss; Loss Of Appetite,Animal Disease Prediction,Adult,Giant,4,True,False,False,True,False,False,False,False
Pig,Duroc,3.0,115.0,Female,Sneezing,Sneezing; Coughing; Nasal Discharge; Labored Breathing,Animal Disease Prediction,Young,Giant,4,False,False,False,False,True,False,False,False
Dog,Corgi,5.0,11.0,Male,Vomiting,Vomiting; Diarrhea; Lethargy; Weight Loss,Animal Disease Prediction,Adult,Medium,4,False,True,True,True,False,False,False,False
Cat,Burmese,8.0,4.5,Female,Eye Discharge,Eye Discharge; Nasal Discharge; Sneezing; Lethargy,Animal Disease Prediction,Senior,Small,4,False,False,False,True,False,False,False,False
