animal_type,schedule_type,weight_kg,daily_calories,feeding_frequency,feeding_times,portion_splits,morning_portion_grams,evening_portion_grams,water_availability,treat_allowance_percent,special_instructions
Dog,senior,2,120,2,8:00 AM; 6:00 PM,0.5; 0.5,17.142857142857142,17.142857142857142,24/7,10,"Soften food if dental issues, monitor appetite changes"
Dog,senior,5,300,2,8:00 AM; 6:00 PM,0.5; 0.5,42.857142857142854,42.857142857142854,24/7,10,"Soften food if dental issues, monitor appetite changes"
Dog,senior,10,600,2,8:00 AM; 6:00 PM,0.5; 0.5,85.71428571428571,85.71428571428571,24/7,10,"Soften food if dental issues, monitor appetite changes"
Dog,senior,20,1200,2,8:00 AM; 6:00 PM,0.5; 0.5,171.42857142857142,171.42857142857142,24/7,10,"Soften food if dental issues, monitor appetite changes"
Dog,senior,30,1800,2,8:00 AM; 6:00 PM,0.5; 0.5,257.14285714285717,257.14285714285717,24/7,10,"Soften food if dental issues, monitor appetite changes"
Dog,senior,40,2400,2,8:00 AM; 6:00 PM,0.5; 0.5,342.85714285714283,342.85714285714283,24/7,10,"Soften food if dental issues, monitor appetite changes"
Dog,senior,50,3000,2,8:00 AM; 6:00 PM,0.5; 0.5,428.57142857142856,428.57142857142856,24/7,10,"Soften food if dental issues, monitor appetite changes"
Cat,senior,2,140,2,8:00 AM; 6:00 PM,0.5; 0.5,20.0,20.0,24/7,10,"Soften food if dental issues, monitor appetite changes"
Cat,senior,5,350,2,8:00 AM; 6:00 PM,0.5; 0.5,50.0,50.0,24/7,10,"Soften food if dental issues, monitor appetite changes"
Cat,senior,10,700,2,8:00 AM; 6:00 PM,0.5; 0.5,100.0,100.0,24/7,10,"Soften food if dental issues, monitor appetite changes"
