age,weight,symptom_count,weight_age_ratio,is_young,is_senior,is_emergency,is_chronic,urgency_level,animal_type_encoded,breed_encoded,gender_encoded,primary_symptom_encoded,symptom_severity_encoded,breed_size_encoded,breed_health_risk_encoded,life_stage_encoded,weight_status_encoded,symptom_pattern_encoded,season_encoded,time_of_day_encoded,data_source_encoded,has_fever,has_vomiting,has_diarrhea,has_lethargy,has_coughing,has_appetite_loss,has_skin_lesions,has_lameness
6.4,4.3,5,0.581081081081081,False,False,False,False,3,3,107,2,709,1,4,5,0,0,28,2,2,4,False,False,False,True,True,False,False,False
0.0,0.0,5,0.0,False,False,False,False,1,12,117,2,409,2,4,5,6,3,28,1,1,1,False,False,False,True,True,False,False,False
14.0,5.7,5,0.38,False,True,False,False,2,3,102,2,694,3,4,5,1,0,10,1,0,4,True,True,True,False,False,False,False,False
1.3,2.6,5,1.1304347826086958,True,False,False,False,1,3,107,2,166,2,4,5,7,0,14,1,2,4,False,False,True,True,True,False,False,False
12.7,33.1,5,2.416058394160584,False,True,False,False,2,7,63,2,355,3,1,6,1,0,28,2,2,4,True,False,False,True,True,False,False,False
0.0,0.0,5,0.0,False,False,False,False,1,12,117,2,106,2,4,5,6,3,24,0,2,1,False,False,False,False,True,False,False,False
15.8,6.8,5,0.4047619047619047,False,True,False,False,1,3,70,2,672,2,4,5,1,0,2,1,3,4,True,False,True,False,False,False,False,False
5.4,7.8,5,1.21875,False,False,False,False,1,7,87,2,130,2,2,8,0,0,23,2,2,4,False,False,False,True,False,False,False,False
1.4,9.5,5,3.9583333333333335,True,False,False,False,1,7,75,2,83,2,4,5,7,0,5,3,3,4,False,False,True,False,False,False,False,False
4.7,5.0,5,0.8771929824561403,False,False,False,False,1,7,75,2,528,2,4,5,0,0,6,0,1,4,False,False,True,True,False,False,False,False
11.6,28.2,5,2.238095238095238,False,True,False,False,1,7,27,2,634,2,4,7,1,0,19,3,2,4,False,False,False,False,False,False,False,False
3.7,6.7,5,1.425531914893617,False,False,False,False,2,3,89,2,27,3,4,5,0,0,6,2,3,4,False,True,True,True,False,True,False,False
6.8,4.1,5,0.5256410256410257,False,False,False,False,2,7,121,2,27,3,3,5,0,2,9,0,0,4,False,False,False,True,False,True,False,False
11.4,40.9,5,3.2983870967741935,False,True,False,False,1,7,63,2,626,2,1,6,1,0,27,3,0,4,True,False,False,False,True,False,False,True
0.0,0.0,5,0.0,False,False,False,False,3,0,117,2,229,1,4,5,6,3,28,0,2,1,True,False,False,True,False,False,False,False
6.5,6.9,5,0.92,False,False,False,False,3,3,82,2,709,1,4,5,0,0,28,2,2,4,True,False,False,True,True,False,False,False
7.7,26.1,5,3.0000000000000004,False,True,False,False,2,7,23,2,355,3,4,2,5,0,23,1,0,4,True,False,False,True,False,False,False,False
8.6,4.9,5,0.5104166666666667,False,True,False,False,2,3,25,2,355,3,4,5,5,0,28,3,3,4,True,False,False,True,False,False,False,False
17.8,5.5,5,0.2925531914893617,False,True,False,False,3,3,75,2,709,1,4,5,1,0,6,1,3,4,False,True,False,True,False,False,False,False
0.8,8.1,5,4.5,True,False,False,False,3,3,70,2,229,1,4,5,3,1,19,2,1,4,True,False,False,False,False,False,False,False
7.4,30.4,5,3.6190476190476186,False,True,False,False,3,7,94,2,229,1,1,5,5,0,28,3,0,4,True,False,False,True,True,False,False,False
15.3,6.9,5,0.4233128834355828,False,True,False,False,2,3,70,2,27,3,4,5,1,0,2,0,1,4,True,False,False,False,False,True,False,False
8.9,4.9,5,0.494949494949495,False,True,False,False,3,7,87,2,229,1,2,8,5,2,10,0,2,4,True,False,False,False,False,True,False,False
0.0,0.0,5,0.0,False,False,False,False,3,0,117,2,229,1,4,5,6,3,24,0,2,1,True,False,False,False,False,False,False,False
6.4,5.8,5,0.7837837837837838,False,False,False,False,3,3,16,2,709,1,4,5,0,0,5,1,0,4,True,True,True,False,False,False,False,False
6.6,4.6,5,0.6052631578947368,False,False,False,False,3,7,121,2,229,1,3,5,0,2,2,0,1,4,True,False,True,False,False,True,False,False
5.8,35.7,5,5.250000000000001,False,False,False,False,1,7,63,2,409,2,1,6,0,0,17,1,1,4,False,True,False,True,False,False,False,False
8.1,7.3,5,0.8021978021978022,False,True,False,False,2,3,25,2,694,3,4,5,5,0,6,0,1,4,False,True,False,True,False,False,False,False
12.5,23.3,5,1.725925925925926,False,True,False,False,3,7,23,2,437,1,4,2,1,0,27,0,0,4,False,False,False,False,True,False,False,False
3.7,9.2,5,1.957446808510638,False,False,False,False,3,7,87,2,437,1,2,8,0,0,19,3,0,4,False,False,False,False,False,False,False,False
15.0,7.1,5,0.44375,False,True,False,False,3,3,89,2,709,1,4,5,1,0,6,3,0,4,False,True,False,True,False,False,False,False
1.7,3.4,5,1.259259259259259,True,False,False,False,2,3,75,2,128,3,4,5,7,0,6,3,3,4,True,False,True,True,False,True,False,False
11.2,5.5,5,0.45081967213114754,False,True,False,False,1,3,25,2,652,2,4,5,1,0,18,3,0,4,False,False,False,False,False,False,False,False
6.0,8.0,5,1.1428571428571428,False,False,False,False,2,3,89,2,355,3,4,5,0,0,28,3,2,4,False,False,False,True,True,False,False,False
8.1,24.9,5,2.7362637362637363,False,True,False,False,3,7,13,2,709,1,2,3,5,0,6,2,0,4,True,False,True,True,False,False,False,False
2.7,22.4,5,6.0540540540540535,False,False,False,False,3,7,27,2,709,1,4,7,7,0,31,0,3,4,True,False,False,True,False,False,False,False
11.9,6.3,5,0.4883720930232558,False,True,False,False,1,3,70,2,583,2,4,5,1,0,10,0,2,4,True,True,False,False,False,False,False,False
15.0,28.0,5,1.75,False,True,False,False,3,7,27,2,437,1,4,7,1,0,31,0,0,4,False,False,False,True,True,False,False,False
9.1,7.7,5,0.7623762376237624,False,True,False,False,3,7,87,2,229,1,2,8,5,0,24,0,3,4,True,False,False,False,True,False,False,False
7.3,40.4,5,4.8674698795180715,False,True,False,False,3,7,63,2,437,1,1,6,5,0,9,2,3,4,True,True,False,True,False,False,False,False
8.8,6.5,5,0.6632653061224489,False,True,False,False,2,3,75,2,355,3,4,5,5,0,31,1,2,4,False,False,False,True,False,False,False,False
9.3,35.9,5,3.4854368932038833,False,True,False,False,1,7,51,2,583,2,1,4,5,0,27,3,3,4,True,False,False,False,True,False,False,False
17.9,3.7,5,0.19576719576719578,False,True,False,False,1,3,97,2,583,2,4,5,1,0,14,3,1,4,False,False,False,True,False,True,False,False
4.0,22.9,5,4.58,False,False,False,False,2,7,27,2,27,3,4,7,0,0,10,2,0,4,False,False,False,False,True,True,False,False
6.7,20.6,5,2.6753246753246755,False,False,False,False,1,7,75,2,583,2,4,5,0,0,24,3,3,4,False,False,False,False,True,False,False,False
16.8,5.1,5,0.28651685393258425,False,True,False,False,3,3,89,2,229,1,4,5,1,0,23,3,0,4,True,False,False,True,False,False,False,False
8.6,39.4,5,4.104166666666667,False,True,False,False,2,7,63,2,128,3,1,6,5,0,5,0,0,4,True,False,True,False,False,False,False,False
13.2,6.2,5,0.4366197183098592,False,True,False,False,2,3,16,2,355,3,4,5,1,0,20,0,2,4,True,False,False,True,False,False,False,False
7.5,28.1,5,3.3058823529411767,False,True,False,False,1,7,27,2,106,2,4,7,5,0,10,1,3,4,False,False,True,False,True,False,False,False
5.9,16.3,5,2.36231884057971,False,False,False,False,1,7,75,2,661,2,4,5,0,0,14,2,2,4,True,True,False,True,False,False,False,False
11.6,38.0,5,3.015873015873016,False,True,False,False,1,7,52,2,450,2,1,1,1,0,5,2,1,4,False,True,False,False,False,False,False,False
2.7,29.4,5,7.945945945945946,False,False,False,False,1,7,23,2,102,2,4,2,7,0,5,0,2,4,False,False,True,False,False,False,False,False
10.9,5.5,5,0.4621848739495798,False,True,False,False,1,3,102,2,6,2,4,5,1,0,28,0,2,4,False,False,False,True,False,False,False,False
4.0,26.308336,0,5.2616672,False,False,False,False,1,7,104,0,533,2,4,5,0,0,20,2,2,3,False,False,False,False,False,False,False,False
7.6,29.0,5,3.372093023255814,False,True,False,False,3,7,75,2,437,1,4,5,5,0,23,3,0,4,True,False,False,True,False,False,False,False
8.1,4.8,5,0.5274725274725275,False,True,False,False,2,7,87,2,694,3,2,8,5,2,9,0,3,4,False,True,False,True,False,False,False,False
13.1,18.1,5,1.2836879432624115,False,True,False,False,1,7,23,2,425,2,4,2,1,0,20,0,0,4,False,False,False,True,False,False,False,False
0.0,0.0,5,0.0,False,False,False,False,3,24,117,2,709,1,4,5,6,3,20,2,2,1,False,False,False,True,False,False,False,False
0.0,0.0,5,0.0,False,False,False,False,1,7,117,2,348,2,4,5,6,3,18,3,3,1,False,False,False,False,False,False,False,False
9.6,10.0,5,0.9433962264150944,False,True,False,False,2,7,121,2,355,3,3,5,5,0,6,3,0,4,True,False,True,True,False,False,False,False
8.4,4.5,5,0.4787234042553191,False,True,False,False,1,3,25,2,607,2,4,5,5,0,28,3,0,4,False,False,False,True,False,False,False,False
12.0,4.7,5,0.36153846153846153,False,True,False,False,1,3,75,2,126,2,4,5,1,0,2,2,2,4,False,True,True,False,False,False,False,False
1.8,6.0,5,2.142857142857143,True,False,False,False,3,3,97,2,437,1,4,5,7,0,5,1,1,4,False,False,False,False,False,True,False,False
6.4,5.4,5,0.7297297297297297,False,False,False,False,2,3,102,2,27,3,4,5,0,0,10,2,3,4,False,False,False,False,False,True,False,False
10.2,3.9,5,0.34821428571428575,False,True,False,False,2,3,25,2,355,3,4,5,1,0,6,1,2,4,False,True,False,True,False,True,False,False
9.0,29.7,5,2.9699999999999998,False,True,False,False,1,7,52,2,174,2,1,1,5,0,5,0,1,4,True,True,True,False,False,False,False,False
18.0,3.1,5,0.1631578947368421,False,True,False,False,1,3,82,2,106,2,4,5,1,0,29,0,2,4,False,False,False,True,True,False,False,False
10.0,8.3,5,0.7545454545454546,False,True,False,False,3,3,89,2,229,1,4,5,1,1,2,3,1,4,True,False,False,False,False,True,False,False
0.0,0.0,5,0.0,False,False,False,False,1,26,117,2,715,2,4,5,6,3,1,2,1,1,False,False,False,False,False,False,True,False
13.0,25.1,5,1.792857142857143,False,True,False,False,3,7,75,2,709,1,4,5,1,0,2,3,3,4,False,False,False,False,False,True,False,False
2.5,27.6,5,7.885714285714286,False,False,False,False,3,7,94,2,437,1,1,5,7,0,23,2,2,4,False,False,False,True,False,False,False,False
2.0,26.308336,0,8.769445333333334,False,False,False,False,1,7,27,1,432,2,4,7,7,0,18,1,2,3,False,False,False,False,False,False,False,False
1.0,8.5,5,4.25,True,False,False,False,1,7,75,2,236,2,4,5,7,0,20,3,0,4,True,False,False,True,False,False,False,False
9.9,20.1,5,1.8440366972477065,False,True,False,False,1,7,27,2,72,2,4,7,5,0,14,1,2,4,False,True,False,True,True,False,False,False
2.1,8.0,5,2.5806451612903225,False,False,False,False,2,3,97,2,128,3,4,5,7,0,10,2,3,4,False,True,True,False,False,False,False,False
5.1,27.6,5,4.524590163934427,False,False,False,False,1,7,63,2,602,2,1,6,0,0,6,2,0,4,False,False,False,True,False,True,False,False
5.4,4.0,5,0.625,False,False,False,False,2,7,87,2,355,3,2,8,0,2,20,0,2,4,True,False,False,True,False,False,False,False
7.0,6.8,5,0.85,False,False,False,False,2,3,25,2,128,3,4,5,5,0,5,1,0,4,True,False,True,False,False,True,False,True
11.0,7.7,5,0.6416666666666667,False,True,False,False,2,7,121,2,694,3,3,5,1,0,13,0,1,4,False,True,False,False,False,False,False,False
8.3,14.4,5,1.5483870967741935,False,True,False,False,1,7,75,2,470,2,4,5,5,0,20,3,0,4,True,False,False,True,False,False,False,False
10.6,3.7,5,0.31896551724137934,False,True,False,False,2,3,107,2,27,3,4,5,1,0,6,0,0,4,True,False,False,True,False,True,False,False
8.7,21.1,5,2.175257731958763,False,True,False,False,3,7,27,2,437,1,4,7,5,0,13,2,0,4,False,False,False,False,False,True,False,False
9.6,6.3,5,0.5943396226415094,False,True,False,False,2,7,87,2,355,3,2,8,5,0,6,3,3,4,False,False,True,True,False,True,False,False
10.0,6.4,5,0.5818181818181819,False,True,False,False,2,3,89,2,128,3,4,5,1,0,10,3,3,4,False,False,True,False,True,False,False,False
0.0,0.0,5,0.0,False,False,False,False,3,9,117,2,229,1,4,5,6,3,9,2,2,1,True,False,True,True,False,False,False,True
4.0,3.3,4,0.6599999999999999,False,False,False,False,1,3,71,0,210,2,4,5,0,0,24,0,1,0,False,False,False,False,True,False,False,False
8.8,40.0,5,4.081632653061225,False,True,False,False,3,7,75,2,709,1,4,5,5,0,5,3,3,4,False,True,False,False,False,True,False,False
12.7,3.6,5,0.26277372262773724,False,True,False,False,3,7,121,2,229,1,3,5,1,2,22,3,2,4,True,False,False,True,False,False,True,False
2.4,2.6,5,0.7647058823529412,False,False,False,False,3,3,102,2,229,1,4,5,7,0,2,0,2,4,True,True,True,False,False,False,False,False
15.2,4.9,5,0.30246913580246915,False,True,False,False,1,3,82,2,536,2,4,5,1,0,18,3,2,4,False,False,False,False,False,False,False,False
14.4,28.6,5,1.8571428571428572,False,True,False,False,1,7,75,2,645,2,4,5,1,0,23,0,1,4,True,False,False,True,False,False,False,False
16.0,5.1,5,0.3,False,True,False,False,2,3,75,2,355,3,4,5,1,0,14,1,0,4,False,False,True,True,False,False,False,False
8.0,18.5,5,2.0555555555555554,False,True,False,False,2,7,23,2,355,3,4,2,5,0,28,1,0,4,True,False,False,True,False,False,False,False
12.4,5.9,5,0.44029850746268656,False,True,False,False,3,3,82,2,709,1,4,5,1,0,20,3,2,4,True,False,False,True,False,False,False,False
0.0,0.0,5,0.0,False,False,False,False,1,28,117,2,368,2,4,5,6,3,14,3,1,1,False,False,False,True,False,False,False,False
18.0,6.1,5,0.32105263157894737,False,True,False,False,1,3,82,2,616,2,4,5,1,0,18,0,2,4,False,False,False,False,False,False,False,False
4.6,8.0,5,1.4285714285714286,False,False,False,False,2,7,121,2,355,3,3,5,0,0,6,0,1,4,False,False,False,True,False,True,False,False
13.4,8.2,5,0.5694444444444444,False,True,False,False,1,7,87,2,7,2,2,8,1,0,19,0,3,4,False,False,False,False,False,False,False,False
8.5,6.8,5,0.7157894736842105,False,True,False,False,2,3,82,2,128,3,4,5,5,0,14,3,3,4,False,True,True,True,True,False,False,False
7.6,24.2,5,2.813953488372093,False,True,False,False,1,7,94,2,72,2,1,5,5,0,19,0,1,4,False,False,False,False,False,False,False,False
8.9,5.8,5,0.5858585858585859,False,True,False,False,1,3,70,2,139,2,4,5,5,0,2,1,1,4,False,False,False,False,False,True,False,False
15.3,21.9,5,1.3435582822085887,False,True,False,False,3,7,23,2,229,1,4,2,1,0,18,2,1,4,True,False,False,False,False,False,False,False
3.8,4.9,5,1.0208333333333335,False,False,False,False,1,3,107,2,583,2,4,5,0,0,10,2,1,4,True,True,True,False,True,False,False,False
15.0,21.0,5,1.3125,False,True,False,False,3,7,75,2,709,1,4,5,1,0,28,0,1,4,False,False,False,True,True,False,False,False
2.6,36.2,5,10.055555555555555,False,False,False,False,1,7,63,2,627,2,1,6,7,0,19,2,3,4,False,False,False,False,False,False,False,False
2.0,4.8,5,1.5999999999999999,False,False,False,False,1,7,75,2,30,2,4,5,7,2,2,0,2,4,False,False,True,False,False,False,False,False
7.0,450.0,4,56.25,False,False,False,False,2,18,10,1,355,3,4,5,5,3,14,3,0,0,True,False,False,True,False,True,False,False
1.3,27.2,5,11.82608695652174,True,False,False,False,3,7,27,2,437,1,4,7,7,0,31,2,1,4,True,False,False,True,True,False,False,False
0.0,0.0,5,0.0,False,False,False,False,1,12,117,2,445,2,4,5,6,3,2,3,3,1,False,True,True,False,False,False,False,False
2.0,5.5,5,1.8333333333333333,False,False,False,False,2,3,82,2,128,3,4,5,7,0,14,1,0,4,False,False,True,True,False,True,False,False
5.0,5.3,5,0.8833333333333333,False,False,False,False,1,7,87,2,206,2,2,8,0,0,19,2,0,4,False,False,False,False,False,False,False,False
9.5,7.2,5,0.6857142857142857,False,True,False,False,2,3,70,2,355,3,4,5,5,0,28,1,2,4,False,False,False,True,False,False,False,False
5.4,23.3,5,3.640625,False,False,False,False,3,7,23,2,229,1,4,2,0,0,6,2,2,4,True,True,True,True,False,False,False,False
15.7,4.6,5,0.2754491017964072,False,True,False,False,1,3,25,2,176,2,4,5,1,0,24,1,0,4,False,False,False,False,True,False,False,False
5.0,20.865232,0,3.4775386666666663,False,False,False,False,1,7,32,0,532,2,3,5,0,0,20,0,2,3,False,False,False,False,False,False,False,False
11.2,28.6,5,2.3442622950819674,False,True,False,False,2,7,75,2,355,3,4,5,1,0,14,0,3,4,False,True,False,True,False,True,False,False
0.0,0.0,1,0.0,False,False,False,False,1,35,117,2,391,2,4,5,6,3,18,3,3,2,False,False,False,False,False,False,False,False
4.1,27.6,5,5.411764705882353,False,False,False,False,2,7,75,2,128,3,4,5,0,0,10,0,2,4,False,False,True,False,True,True,False,False
14.2,30.7,5,2.0197368421052633,False,True,False,False,1,7,51,2,565,2,1,4,1,0,28,1,1,4,False,False,False,True,True,False,False,False
7.4,4.0,5,0.47619047619047616,False,True,False,False,1,7,121,2,583,2,3,5,5,2,14,0,3,4,False,True,False,True,False,False,False,False
0.5,7.8,5,5.2,True,False,False,False,2,7,121,2,694,3,3,5,4,0,10,1,3,4,False,True,False,False,False,False,False,False
4.5,27.5,5,5.0,False,False,False,False,1,7,75,2,189,2,4,5,0,0,24,3,0,4,False,False,False,False,True,False,False,False
11.6,8.6,5,0.6825396825396826,False,True,False,False,2,3,89,2,27,3,4,5,1,1,10,2,1,4,False,False,False,False,False,True,False,False
0.8,35.9,5,19.944444444444443,True,False,False,False,1,7,63,2,664,2,1,6,4,0,20,0,1,4,True,False,False,True,False,False,False,False
0.0,0.0,5,0.0,False,False,False,False,1,2,117,2,238,2,4,5,6,3,10,1,2,1,False,True,False,False,True,False,False,False
0.7,6.6,5,3.8823529411764706,True,False,False,False,3,3,70,2,709,1,4,5,3,0,14,0,1,4,False,False,False,True,False,True,False,False
4.6,35.2,5,6.2857142857142865,False,False,False,False,2,7,94,2,355,3,1,5,0,0,28,2,1,4,False,False,False,True,False,False,False,False
0.0,0.0,5,0.0,False,False,False,False,2,20,117,2,355,3,4,5,6,3,23,0,0,1,False,False,False,True,False,False,False,True
0.0,0.0,5,0.0,False,False,False,False,1,3,117,2,370,2,4,5,6,3,19,2,2,1,False,False,False,False,False,False,False,True
6.9,31.7,5,4.012658227848101,False,False,False,False,2,7,51,2,694,3,1,4,0,0,6,0,2,4,True,True,False,True,False,True,False,False
16.9,6.3,5,0.35195530726256985,False,True,False,False,1,3,70,2,404,2,4,5,1,0,19,3,3,4,False,False,False,False,False,False,False,False
0.0,0.0,5,0.0,False,False,False,False,2,10,117,2,567,3,4,5,6,3,21,0,3,1,False,False,False,True,False,False,True,False
0.5,29.3,5,19.533333333333335,True,False,False,False,1,7,52,2,583,2,1,1,4,0,28,2,3,4,True,False,False,True,False,False,False,False
5.4,7.7,5,1.203125,False,False,False,False,1,7,87,2,482,2,2,8,0,0,18,1,1,4,False,False,False,False,False,False,False,False
4.7,25.8,5,4.526315789473684,False,False,False,False,3,7,23,2,229,1,4,2,0,0,24,0,1,4,True,False,False,False,True,False,False,False
7.9,6.6,5,0.7415730337078651,False,True,False,False,3,3,70,2,709,1,4,5,5,0,14,0,0,4,True,False,False,True,False,True,False,False
3.5,17.8,5,3.9555555555555557,False,False,False,False,1,7,13,2,106,2,2,3,0,0,24,1,3,4,True,False,False,False,True,False,False,False
10.0,4.7,5,0.4272727272727273,False,True,False,False,1,3,25,2,448,2,4,5,1,0,24,3,2,4,False,False,False,False,True,False,False,False
5.0,700.0,4,116.66666666666667,False,False,False,False,3,5,8,0,229,1,4,5,5,3,28,2,0,0,True,False,False,True,False,False,False,False
10.9,26.1,5,2.19327731092437,False,True,False,False,3,7,13,2,229,1,2,3,1,0,14,1,0,4,True,False,False,True,True,True,False,False
11.7,6.6,5,0.5196850393700787,False,True,False,False,1,7,87,2,544,2,2,8,1,0,18,3,2,4,False,False,False,False,False,False,False,False
5.7,24.7,5,3.6865671641791042,False,False,False,False,1,7,27,2,10,2,4,7,0,0,28,0,3,4,False,False,False,True,True,False,False,False
11.1,2.5,5,0.2066115702479339,False,True,False,False,1,3,102,2,106,2,4,5,1,0,14,3,2,4,False,False,False,True,True,True,False,False
7.0,5.0,5,0.625,False,False,False,False,1,3,75,2,288,2,4,5,5,0,2,0,3,4,False,False,True,False,False,False,False,False
6.4,6.2,5,0.8378378378378378,False,False,False,False,1,3,75,2,106,2,4,5,0,0,14,0,2,4,False,True,False,True,True,False,False,False
5.3,31.7,5,5.031746031746032,False,False,False,False,1,7,63,2,583,2,1,6,0,0,14,2,1,4,False,True,False,True,True,False,False,False
10.5,6.5,5,0.5652173913043478,False,True,False,False,2,7,87,2,355,3,2,8,1,0,14,3,3,4,False,False,False,True,True,True,False,False
0.5,6.0,5,4.0,True,False,False,False,2,3,89,2,128,3,4,5,3,0,13,3,0,4,False,False,True,False,True,False,False,False
0.0,0.0,1,0.0,False,False,False,False,1,35,117,2,147,2,4,5,6,3,18,1,0,2,False,False,False,False,False,False,False,False
16.1,6.9,5,0.40350877192982454,False,True,False,False,2,3,82,2,27,3,4,5,1,0,14,2,2,4,True,False,False,True,False,True,False,False
18.0,3.5,5,0.18421052631578946,False,True,False,False,1,3,97,2,136,2,4,5,1,0,6,1,1,4,False,True,True,True,False,False,False,False
5.0,90.0,4,15.0,False,False,False,False,1,30,93,0,106,2,4,5,5,3,28,1,1,0,True,False,False,True,True,False,False,False
13.6,36.2,5,2.4794520547945207,False,True,False,False,2,7,63,2,128,3,1,6,1,0,17,3,1,4,False,False,True,True,True,False,False,False
11.7,35.1,5,2.7637795275590555,False,True,False,False,1,7,51,2,583,2,1,4,1,0,10,2,3,4,True,False,False,False,False,True,False,False
12.7,7.8,5,0.5693430656934306,False,True,False,False,3,3,89,2,229,1,4,5,1,0,2,0,3,4,True,False,True,False,False,False,False,False
3.8,6.3,5,1.3125,False,False,False,False,1,3,89,2,283,2,4,5,0,0,18,1,2,4,True,False,False,False,False,False,False,False
0.0,0.0,5,0.0,False,False,False,False,1,2,117,2,565,2,4,5,6,3,28,0,3,1,False,False,False,True,True,False,False,False
9.7,6.8,5,0.6355140186915889,False,True,False,False,3,3,97,2,709,1,4,5,5,0,6,0,3,4,False,True,True,True,False,False,False,False
8.8,30.0,5,3.061224489795918,False,True,False,False,1,7,94,2,583,2,1,5,5,0,10,3,0,4,False,False,True,False,True,True,False,False
13.5,4.3,5,0.296551724137931,False,True,False,False,1,3,82,2,175,2,4,5,1,0,18,2,3,4,False,False,False,False,False,False,False,False
10.5,39.3,5,3.417391304347826,False,True,False,False,1,7,94,2,488,2,1,5,1,0,10,0,1,4,True,True,False,False,False,False,False,False
6.4,27.0,5,3.6486486486486487,False,False,False,False,1,7,63,2,125,2,1,6,0,0,5,1,3,4,True,False,True,False,False,False,False,False
0.9,16.1,5,8.473684210526317,True,False,False,False,1,7,23,2,444,2,4,2,4,0,18,2,1,4,False,False,False,False,False,False,False,False
5.0,85.0,4,14.166666666666666,False,False,False,False,2,15,96,0,694,3,4,5,5,3,6,3,3,0,True,True,True,True,False,False,False,False
5.0,23.0,4,3.8333333333333335,False,False,True,False,4,7,27,1,332,0,4,7,0,0,10,3,2,0,False,False,False,False,True,True,False,False
13.3,4.3,5,0.3006993006993007,False,True,False,False,2,3,107,2,355,3,4,5,1,0,6,1,1,4,False,False,False,True,False,True,False,False
