AnimalName,Breed,Age,Weight_kg,MedicalHistory,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
Dog,Boxer,14.0,16.8,Parasite history,Loss of eat,Weakness,Sneezing,Pain,Fever
Dog,Yorkshire Terrier,8.7,8.8,Recent surgery,Pain,Weakness,difficulty breating,Coughing,Pain
cat,Mixed Breed,5.4,3.1,Previous kidney disease,Appetite,Vomiting,Weight loss,Upset stomach,Bony Lesion
cat,Mixed Breed,12.4,3.6,Previous heart condition,Coughing,Pain,Less Eat,Weight loss,Eye and Skin change
Dog,Rottweiler,4.1,36.3,Skin conditions history,Sneezing,Coughing,Fever,Weakness,Coughing
Dog,Rottweiler,5.3,25.4,Allergies,Labored breathing,Dyspnea,Coughing,Depression,Anorexia
Dog,German Shepherd,5.3,43.6,Not vaccinated,Fever,Fever,Weakness,Coughing,Nasal
Dog,Mixed Breed,2.4,10.9,Recent surgery,Barren ewes,Abortion,Poor conformation,Hairy Fleeces,Weight loss
cat,Scottish Fold,0.5,4.4,Not vaccinated,Weight loss,Anorexia,Coughing,Coughing,Lethargy
Dog,Beagle,9.2,32.3,Recent surgery,Redness ,Pains,Trachea,Scabs On feet,Thickening of skin
cat,Sphynx,0.5,5.3,Dental issues,Diarrhea,Fever,Swelling may occur under jaw,Nervous,Diarrhea
cat,Mixed Breed,15.5,6.2,Allergies,Fever,Abnormal conformation,Ulcerated muscle,Ulcerated ear,Excession Salivation
Dog,Bulldog,8.7,21.1,Allergies,Abdominal discomfort,Anorexia,Milky Hard,Pain,Sneezing
Dog,Boxer,15.0,20.5,Dental issues,Diarrhea,Weight loss,Lethargy,Succumb,Pain
cat,Scottish Fold,8.5,4.0,Previous heart condition,Lethargy,Vomiting,Lethargy,Sneezing,Weight loss
cat,British Shorthair,12.9,5.9,Skin conditions history,Throat and Ear pain,Vomiting,Loss of earing,Facial edema,Head ache
cat,Scottish Fold,2.3,4.4,Vaccinated,Vomiting,Fever,Diarrhea,Weakness,Vomiting
cat,Mixed Breed,13.7,4.7,Recent surgery,Animal gets uneasy,Difficulty in breathing,Difficult in respiration,Excessive production,Stamping And pedding of hind eye
cat,British Shorthair,18.0,3.3,Skin conditions history,Pain on face,Diarrhea,Aggressiveness,Coughing,Lethargy
Dog,Bulldog,8.5,22.4,Skin conditions history,Blindness,Distinctive bumps,Facial swelling,stunted growth,egg production decreases
cat,Mixed Breed,5.7,8.0,No previous conditions,Vomiting,Vomiting,Abdominal destention,Fever,Anorexia
Dog,Yorkshire Terrier,15.5,4.3,Not vaccinated,Discomfort,Diarrhea,Dry or dull hair,Grinding teeth,Pain
Dog,Rottweiler,0.5,28.2,Vaccinated,Anorexia,Fever,Weight loss,Coughing,Pain
Dog,Yorkshire Terrier,4.6,6.4,Previous heart condition,Thivk skin,Excessive eye watering,Coughing,Aggressiveness,Sneezing
cat,Bengal,7.3,5.2,Recent surgery,Walking problem,Lethargy,Anorexia,Lethargy,Fever
Dog,Mixed Breed,13.9,16.4,Not vaccinated,difficulty swallowing,cough ,difficulty swallowing,gasping for air,extending its neck
cat,British Shorthair,11.2,8.0,Previous kidney disease,Sneezing,Anorexia,Sneezing,Sneezing,Weakness
Dog,Poodle,4.3,7.7,No previous conditions,Eyeproblem,Weight loss,Sneezing,Weakness,Reduce Lamp marking
Dog,Poodle,9.9,3.9,No previous conditions,Coughing,Pain,Deability,Eyeproblem,Pain
Dog,Rottweiler,1.2,29.5,Chronic illness,Upset stomach,Diarrhea,Vomiting,Muscle pain,Muscle stiffness
Dog,Yorkshire Terrier,7.7,10.0,Vaccinated,Coughing,Diarrhea,Sneezing,Diarrhea,Excession Salivation
Dog,German Shepherd,8.0,35.8,Vaccinated,Fever,Sour Throat,Mortality,Muscle aches,Abnormalities
Dog,Rottweiler,4.0,37.9,Skin conditions history,Weight loss,Urine retention,Fever,Sudden death,Convulsion
Dog,Boxer,8.2,24.1,Previous kidney disease,Anorexia,Fell unwell,Flatulence,Anorexia,Coughing
cat,Sphynx,5.6,2.7,No previous conditions,Floopy muscle,Speech delay,Intellectual disability,Walking problem,Eye movements
cat,Bengal,7.8,6.5,Parasite history,Weakness,Pain,Diarrhea,Fever,Sneezing
cat,British Shorthair,11.6,5.1,Vaccinated,Moist,Weight loss,Weakness,Coughing,Itchiness
Dog,Boxer,10.0,19.9,Allergies,Diarrhea,Limp,Pain,Anorexia,Weight loss
cat,British Shorthair,12.6,2.6,Previous heart condition,chewing,Weight loss,Weakness,Sneezing,Sneezing
cat,Sphynx,7.2,8.0,Not vaccinated,Lethargy,anaemia,Sneezing,Anorexia,Diarrhea
cat,Ragdoll,1.1,6.3,Parasite history,Reduce Lamp marking,Vomiting,Size of lesions vary,Anorexia,Diarrhea
Dog,Labrador Retriever,8.0,35.2,Dental issues,Unable to exercise,Fever,Anorexia,Tensemus,Pain
cat,British Shorthair,13.9,3.8,No previous conditions,Neck paralysis,Diarrhea,ruffled feathers,Labored breathing,Weakness
cat,Siamese,11.8,3.2,Skin conditions history,Ring shaped Lesion,Round patches,Dry skin,Size of lesions vary,Pain
cat,Ragdoll,9.4,5.7,Allergies,wasting,stumbling,listlessness,drooling,urination problem
Dog,German Shepherd,9.7,45.0,Allergies,Coughing,Halitosis,Enteritis,Air sacculitis,Weight loss
Dog,Bulldog,10.2,26.3,Allergies,cough ,gasping for air,Weight loss,gasping for breath,extending its neck
cat,Scottish Fold,4.1,5.0,Parasite history,Weakness,Coughing,Sneezing,Loss of vitamin E,Anorexia
cat,Ragdoll,8.2,5.0,Chronic illness,Sneezing,Labored breathing,Pain,Terminal convulsion,Weakness
Dog,Boxer,0.5,17.0,Chronic illness,Sneezing,Pain,Crusty eye lashes and matting of eyelashes,Anorexia,Vomiting
Dog,Bulldog,6.8,18.8,Not vaccinated,Nuerological,Loss of appetite,Fever,Eyeproblem,Liver disease
Dog,Labrador Retriever,9.9,24.7,Recent surgery,emaciation,loss in weight,loss of appetite,Weakness,diarrhoea
Dog,Yorkshire Terrier,8.0,6.0,Recent surgery,haemorrhage,Straw colored,Abdominal pain,Death,Carcass decomposes
cat,Ragdoll,2.1,6.6,Skin conditions history,wasting,stumbling,Fever,drooling,drooping ears
cat,Persian,1.1,3.6,No previous conditions,Swollen,Hot joints,Pustulses,Difficulty in Walk,Pains
cat,Ragdoll,6.4,5.0,Allergies,loss of appetite,Diarrhea,Lession on cat skin,Coughing,Vomiting
Dog,Yorkshire Terrier,8.6,6.0,Skin conditions history,diffuse,Diarrhea,Scartch,Pain,Vomiting
cat,Ragdoll,6.8,6.1,Previous heart condition,weight loss,self-isolation,dull ness,inappetence,recumbency
cat,Siamese,15.7,5.1,No previous conditions,Pains,Fever,Anorexia,Succumb,Sluggish
cat,Persian,8.0,6.0,Dental issues,Coughing,Hyperesthesia,Weakness,Coughing,Pain
Dog,Yorkshire Terrier,5.3,5.6,Parasite history,Weight loss,depression,Sneezing,Anorexia,Lethargy
cat,Sphynx,2.8,5.6,Recent surgery,Fever,Coughing,Severe headache,Fatique,Vomiting
cat,British Shorthair,7.5,4.9,Skin conditions history,Limping,Raw,Skin colour change,Sensitive to touch,Flabby
cat,Scottish Fold,16.2,4.9,Parasite history,Coughing,Anorexia,Vomiting,Diarrhea,Sudden Abortion
Dog,German Shepherd,13.6,42.9,No previous conditions,Sneezing,Eye closed,Sneezing,Vomiting,Lethargy
Dog,Poodle,11.3,3.7,Not vaccinated,Respiratory distress,Seizuers,Hyperesthesia,Fever,Sudden death
cat,Siamese,17.9,5.6,Dental issues,Weight loss,Lethargy,Anorexia,Vomiting,Fever
cat,Bengal,7.6,4.9,Not vaccinated,Sneezing,Fever,Scratches,Cloacal pasting,Anorexia
cat,Siamese,15.1,5.7,Allergies,Pnemonia,Loss of  appetite,Eye disharge,Lameness,Arthritis
Dog,Labrador Retriever,8.0,29.9,Previous kidney disease,Vomiting,Weakness,Coughing,Sneezing,Pain
Dog,Mixed Breed,8.8,7.1,No previous conditions,Strong cough,Runny nose,Sneezing,Lethargy,Loss of appettite
cat,Mixed Breed,10.5,4.3,No previous conditions,Formation of vesicles,Nostrils,Abnormally long leg,Scabs on lip,Pains
Dog,Beagle,7.0,23.1,No previous conditions,Weakness,Sneezing,Pain,Swelling may occur under jaw,Yellow or green dropping
cat,Persian,2.6,4.2,Previous kidney disease,Short stature,Bleeding in eye and skin,Weakness,Vomiting,Weakness
cat,British Shorthair,11.4,6.6,Previous heart condition,Edema,diarrhea,Nasal Discharge,Decresed egg production,Sneezing
Dog,Boxer,5.0,23.7,Skin conditions history,Anorexia,Fever,Vomiting,Weakness,Fever
Dog,Boxer,1.7,26.2,Previous heart condition,Fever,Difficulty breathing,Thrist and urination,Weight loss,Enlarged lymph nodes or Swelling
cat,Maine Coon,16.3,6.3,Vaccinated,Weight loss,Distress,Inability to absorb nutrients,Lethargy,Fever
cat,Bengal,3.8,8.0,Previous kidney disease,Weight loss,weakness,Poor conformation,Lethargy,Anorexia
Dog,Beagle,6.9,15.0,Chronic illness,Coughing,Anorexia,Coughing,Coughing,hot udder
cat,Siamese,1.1,6.2,Skin conditions history,Periodic vommiting,Fever,Diffculty breathing,Anorexia,Weight loss
cat,Maine Coon,3.7,8.2,Recent surgery,Weakness,Diarrhea,Lethargy,Pain,Weight loss
cat,Bengal,2.3,4.8,Recent surgery,Nostrils,Pains,Abnormally long leg,Scabs on lip,Formation of vesicles
Dog,German Shepherd,4.6,45.0,Previous kidney disease,Weakness,Distended chest,Lethargy,Anorexia,Coughing
cat,Maine Coon,6.0,5.9,Allergies,Respiratory infection,Short stature,Anorexia,Pain,Bubbles in the mouth
Dog,Mixed Breed,11.3,22.2,No previous conditions,Pain,Weakness,Sneezing,Diarrhea,Sneezing
Dog,Bulldog,9.4,20.9,Skin conditions history,egg production decreases,stunted growth,Blindness,Distinctive bumps,Facial swelling
Dog,Rottweiler,15.0,42.8,Vaccinated,Watery eye,Vomiting,Vomiting,Diarrhea,Anorexia
Dog,Bulldog,5.6,19.3,Allergies,Reluctant Move,Loss of Appetite,Lameness,Death,Weakness
cat,Siamese,8.2,5.0,No previous conditions,Lession on cat skin,Dandruff in cat coat,Red patches,Hair loss,Skin issue
Dog,Bulldog,8.1,19.5,Allergies,Fever,Dull,Hind quarted soil,Animal stop feed,Decrease in milk production
cat,Bengal,11.0,5.2,Parasite history,Difficulty in breathing,Stamping And pedding of hind eye,Excessive production,Animal gets uneasy,Difficult in respiration
Dog,Yorkshire Terrier,14.3,8.6,No previous conditions,Weight loss,Weakness,Lethargy,Weight loss,Sneezing
cat,Maine Coon,5.2,6.2,Previous heart condition,Lying down,Depression,Fever,Weak Pulse,Colic
cat,Mixed Breed,9.9,6.1,Previous heart condition,Changes in outer layer skin,Swelling of eye,loss of appetite,Lethargy,Respiratory infection
Dog,Mixed Breed,0.9,9.9,Allergies,Fever,Difficulty in breathing,Lethargy,Death,Pains
Dog,German Shepherd,9.4,41.2,Recent surgery,Swollen lymph nodes,Difficulty walking,Watery Stool,Lethargy,Vaginal Discharge
Dog,Bulldog,14.3,21.3,Not vaccinated,Limping,Willnot run to jump,Swelling ,Week legs,Pain on leg
cat,Ragdoll,3.8,5.7,No previous conditions,Gagging,Retching,Unilateral Nasal discharge,Weight loss,Sneezing
cat,Scottish Fold,10.1,6.0,Dental issues,Swelling,Lameness,Hyperaestesia,Hock joint,Weight loss
cat,British Shorthair,4.5,5.5,Vaccinated,Drop on egg production,Diarrhea,Vomiting,Pain,Sneezing
Dog,Golden Retriever,8.6,29.6,Dental issues,Back Pain,Pain,Diarrhea,Vomiting,Weight loss
Dog,Labrador Retriever,15.0,33.2,Dental issues,Abdominal pain,Vomiting,Weakness,Swollen Abdomen,swollen teats
cat,Mixed Breed,3.9,6.6,Allergies,Fever,Fever,Weight loss,Fever,Weakness
Dog,Bulldog,5.1,19.6,No previous conditions,Weakness,Sneezing,Weakness,Weight loss,Anorexia
cat,Ragdoll,18.0,8.0,Skin conditions history,Sneezing,Red Diarrhea,Sneezing,Vomiting,Weight loss
Dog,Rottweiler,6.3,45.0,No previous conditions,Sneezing,Weight loss,Weakness,Fever,Sneezing
cat,Siamese,10.5,6.5,Parasite history,Shaking head,Scartching ear,Black on ear,Bad smell,Red and inflammation ear
cat,Sphynx,6.3,3.0,No previous conditions,Sneezing,Weight loss,Weakness,Weakness,Anorexia
cat,Mixed Breed,14.9,3.7,No previous conditions,Decreased growth of bone,Depression,Grunting,Lameness,Weight loss
Dog,Rottweiler,5.7,33.3,No previous conditions,Coughing,Fever,Diarrhea,Weakness,Pain
Dog,Beagle,3.0,17.7,Vaccinated,Allergic Reaction,Poor appetite,Coughing,Weight loss,Distended chest
cat,British Shorthair,5.2,6.5,Chronic illness,Pain,Fever,Weight loss,Pain,Vomiting
Dog,Rottweiler,5.2,27.5,Chronic illness,Weakness,Fever,Weight loss,Anorexia,Lethargy
Dog,Rottweiler,1.2,29.2,Chronic illness,Upset stomach,Diarrhea,Vomiting,Muscle pain,Muscle stiffness
cat,British Shorthair,9.6,5.3,Previous heart condition,Coughing,Weakness,Excession Salivation,Diarrhea,Weight loss
cat,Ragdoll,6.2,5.9,Not vaccinated,wasting,stumbling,listlessness,drooling,drooping ears
cat,Scottish Fold,15.9,2.8,Recent surgery,Groosly enlarged,Skin may thicken,Convulsion,Edematous,Pains
cat,Bengal,12.8,3.3,Allergies,Bloody Urine,Bloody discharge,Fatigue,Diarrhea,Nuerological
cat,Maine Coon,7.7,5.2,Skin conditions history,Fever,Diarrhea,Coughing,Consistency of milk,Pain
Dog,Beagle,3.7,25.8,Recent surgery,Vomiting,Diarrhea,Dehydration,Weight loss,Poor coat apperence 
Dog,Rottweiler,5.0,30.3,No previous conditions,Immediate death,Difficulty in breathing,Blue colored lip,Bloody discharge,Neurologic abnormalities
Dog,German Shepherd,9.1,38.9,Allergies,Air sacculitis,Halitosis,Coughing,Enteritis,Weight loss
cat,Ragdoll,0.5,6.9,Parasite history,Tear production,Coughing,Head Pressing,Weakness,Fever
Dog,Rottweiler,0.5,45.0,Chronic illness,Lethargy,Ulcer on gum,Weight loss,Anorexia,Sneezing
Dog,German Shepherd,5.5,32.4,Previous kidney disease,Lethargy,Coughing,Weight loss,Diarrhea,Blood from mouth
Dog,Beagle,3.2,31.5,Recent surgery,Poor coat apperence ,Diarrhea,Vomiting,Weight loss,Dehydration
Dog,Mixed Breed,14.2,18.7,Recent surgery,Lesions in the nasal cavity,Lesions on nose,Vomiting,Noisy Breathing,Lesions on nose
Dog,Rottweiler,6.1,29.6,Vaccinated,Isolation from flock,Stealing ,Nesting behaviour,Pawing at bedding,Pains
Dog,Beagle,11.0,23.1,Vaccinated,Jaundice,Loss of appetite,Rough Hair coat,Coughing,Death
cat,Ragdoll,10.3,7.4,Skin conditions history,Reduce Reproductive potential,Fever,Coughing,Lethargy,Sneezing
cat,Bengal,2.4,4.3,Recent surgery,Abnormally long leg,Nostrils,Scabs on lip,Pains,Formation of vesicles
cat,Persian,7.6,3.0,Recent surgery,Vomiting,Weight loss,Sneezing,Anorexia,Fever
cat,Persian,15.9,4.4,Vaccinated,Not eating,Vomiting,Lethargy,Lethargy,Vomiting
cat,Siamese,2.3,4.0,Recent surgery,burning ache or pain,vomiting,loss of appetite,experiencing changes in weight, pain and bloating
Dog,Beagle,6.3,28.9,Recent surgery,Coughing,gurgling sound,Diarrhea,Lethargy,Vomiting
Dog,Poodle,3.8,5.6,Recent surgery,Sneezing,Pain,Weakness,Skeleten abnormalities,Weakness
Dog,Golden Retriever,9.5,31.5,Vaccinated,Anorexia,Constipation,Fever,Weakness,Lethargy
cat,Sphynx,1.3,3.5,Vaccinated,Lethargy,Dizzines,Uteria inertia,Diarrhea,Lethargy
cat,Bengal,1.2,6.0,Not vaccinated,Wool is clumped,Feels stiff,Staggering,Skin Rashes,Pains
cat,Siamese,4.2,3.5,Not vaccinated,Fever,Depression,Coughing,Weight loss,Anorexia
cat,Sphynx,14.1,2.5,Recent surgery,outstretched neck,noisy breathing,inappetence,dull ness,coughing
Dog,Beagle,5.4,27.4,Not vaccinated,Anorexia,Vomiting,Weight loss,Anorexia,Vomiting
Dog,Boxer,6.5,29.8,Skin conditions history,Bloody Diarhhea,Depression,Dullness,Death,Weakness
Dog,Labrador Retriever,12.8,28.9,No previous conditions,loss in weight,emaciation,loss of appetite,Weakness,diarrhoea
Dog,Rottweiler,10.1,25.0,No previous conditions,Coughing,Diarrhea,Diarrhea,Coughing,Vomiting
Dog,Rottweiler,5.8,25.0,Allergies,Anorexia,Diarrhea,Coughing,Diarrhea,Weakness
Dog,Poodle,1.9,6.0,Recent surgery,Extension of neck,Weakness,Coughing,Weight loss,Lethargy
Dog,Rottweiler,8.7,43.2,Not vaccinated,Eye redness,Frequent eye Infections,Crusty eye lashes and matting of eyelashes,foul smelling stools, increased passing gas
cat,Mixed Breed,16.2,5.0,Chronic illness,Sudden death,Lethargy,Fever,Sneezing,Coughing
cat,Bengal,13.6,3.3,Parasite history,Anorexia,Lethargy,Weakness,Vomiting,Pain
cat,Maine Coon,6.8,6.9,Skin conditions history,Lethargy,Coughing,Weakness,Stamping And pedding of hind eye,Anorexia
cat,Ragdoll,7.2,7.1,Allergies,Sneezing,Distinctive bumps,Coughing,Cramps,Weight loss
Dog,Labrador Retriever,3.5,42.7,Chronic illness,Vomiting,Weight loss,Drooling,Sneezing,Coughing
Dog,Mixed Breed,2.6,11.4,No previous conditions,Weakness,Sneezing,Hematuria,Lethargy,Sickness
Dog,Mixed Breed,13.2,19.3,Dental issues,Fetopelvic dispropotion,Uteria inertia,Malpresentation,Death,Pains
cat,Mixed Breed,2.2,5.8,Allergies,Fever,Succumb,Spread of infection,Weight loss,Anorexia
Dog,German Shepherd,10.8,34.9,Vaccinated,Lethargy,Anorexia,Weakness,Vomiting,Weakness
Dog,Poodle,6.0,8.0,Previous kidney disease,Horny growth,Red on affected area,Red skin,Lesions on ear,Wart-like growth
cat,Ragdoll,5.4,6.1,No previous conditions,Fever,Diarrhea,Vomiting,Cramps,Dehydration
Dog,Golden Retriever,13.8,28.7,Previous kidney disease,fever,loss of appetite,rapid pulse and heart rates,lameness in affected leg,depression
Dog,Yorkshire Terrier,14.8,6.2,Dental issues,Fever,Difficulty in breathing,Dribbling of saliva,Inability of Swalllon Feeding,Moist and painfull
cat,Siamese,2.3,3.1,Parasite history,Swollen Abdomen,Difficulty in Breathing,Diarrhea,Vomiting,Fever
Dog,Mixed Breed,1.6,24.0,Skin conditions history,Decreased eyelid,Very cold skin,Lethargy,Lip,Fever
cat,Siamese,7.9,7.8,No previous conditions,Pain,Coughing,Weight loss,Anorexia,Diarrhea
Dog,Rottweiler,1.6,34.0,Recent surgery,Mummification,Pain,Abortion ,Weak kids,Stillbirth
cat,Ragdoll,9.2,9.3,Not vaccinated,Fever,Abortion,Kidney failure,Inflammation of eye,Eye redness
cat,Ragdoll,10.2,8.0,Vaccinated,nasal discharge,depression,muscular stiffness,fever,swollen lymph nodes
Dog,Beagle,15.0,21.1,Not vaccinated,Pain,Pain,Weakness,Weight loss,Anorexia
cat,British Shorthair,13.5,6.2,Skin conditions history,Facial edema,Loss of earing,Vomiting,Head ache,Throat and Ear pain
cat,Scottish Fold,6.4,3.9,Previous kidney disease,Fever,Tiredness,loss of appetite,Muscle aches,Chest Pain
cat,Scottish Fold,17.9,6.5,Vaccinated,Tenderness,Facial Paralysis,Weight loss,Foot Hot,Pains
Dog,Boxer,4.6,23.6,Previous kidney disease,Difficulty breathing,Coughing,Unable to exercise,Fever,Eye and Skin change
cat,Maine Coon,5.4,5.6,Recent surgery,Fever,Weight loss,Weight loss,Anorexia,Weight loss
cat,British Shorthair,2.3,3.0,No previous conditions,Red Tinge,Slim over the shell,Bad smell,Easily damage shell,Flaking of the Scutes
Dog,Bulldog,12.5,26.9,Previous heart condition,Coughing,Vomiting,Fever,Sneezing,Coughing
cat,Mixed Breed,18.0,3.3,Not vaccinated,Weight loss,Loss of appetite,Weakness,Fever,Vomitting
Dog,Bulldog,5.3,23.1,Chronic illness,Vomiting,Fever,Anorexia,Poor Appetite,Weakness
Dog,Mixed Breed,12.9,13.3,Skin conditions history,Swollen lymph nodes,Difficulty walking,Back Pain,Lethargy,Vaginal Discharge
Dog,Mixed Breed,5.5,11.5,Recent surgery,Decreased growth of bone,Pain,Sneezing,Swelling,Diarrhea
Dog,Bulldog,9.2,23.2,Parasite history,egg production decreases,stunted growth,Blindness,Distinctive bumps,Facial swelling
Dog,Rottweiler,7.6,24.2,Recent surgery,Bluish white opacity,Blindness,Anversion to light,Tear production,Pains
cat,Sphynx,13.0,6.5,Not vaccinated,Lethargy,Coughing,Sneezing,Fever,difficulty diagnosis
Dog,Labrador Retriever,8.5,42.2,Parasite history,Vomiting,Sneezing,Loss of consciousness,Lethargy,Vomiting
Dog,Rottweiler,4.4,36.3,Previous kidney disease,Weakness,Moist,Weight loss,Lethargy,muscular spasms
cat,Mixed Breed,5.6,4.1,No previous conditions,fever,loss of appetite,rapid pulse and heart rates,lameness in affected leg,depression
cat,Mixed Breed,14.2,3.8,Not vaccinated,Vomiting,Diarrhea,Weight loss,Lethargy,Ring shaped Lesion
Dog,Rottweiler,5.8,41.0,Recent surgery,Poor coat condition,Fever,Fatique,Weight loss,Infection of the skin
Dog,Bulldog,3.9,19.3,No previous conditions,Coughing,Coughing,Weight loss,Salivating,Bloody diarrhea
cat,Persian,4.1,5.9,Dental issues,Lethargy,Nible at their wool,Diarrhea,Anorexia,Vomiting
cat,Siamese,9.5,5.3,Dental issues,Shaking oh head,Fever,Blue colored lip,Diarrhea,Lethargy
Dog,Bulldog,12.2,21.1,Chronic illness,Swollen Eyelids,Weight loss,Weight loss,Weakness,Vomiting
cat,Maine Coon,10.4,6.6,No previous conditions,difficulty moving and eating,sweating,Weight loss,thirst,muscular spasms
Dog,Labrador Retriever,1.6,41.7,Recent surgery,Fever,Chronic eye inflamation,Poor Appetite,Lethargy,Neurologic abnormalities
Dog,Bulldog,6.8,31.6,Allergies,haemorrhage,Straw colored,Abdominal pain,Death,Carcass decomposes
cat,Sphynx,13.6,8.0,Parasite history,Coughing,Lethargy,Fever,Sneezing,Anorexia
Dog,Bulldog,13.0,25.0,Allergies,Watering Diarrhea,Depression,Emaciation,Ruffled Coat,Lethargy
cat,Bengal,0.5,5.5,Previous kidney disease,Lethargy,Coughing,Diarrhea,Grinding teeth,Weight loss
cat,Bengal,10.9,6.6,Not vaccinated,Weakness,Lethargy,Sneezing,Pain,Lethargy
